"","cond","subj","block","trial","stim","resp","rt"
"204","neutral",12,5,4,10,"B",687
"205","neutral",12,5,5,4,"A",607
"206","neutral",12,5,6,9,"B",605
"207","neutral",12,5,7,1,"A",805
"208","neutral",12,5,8,8,"A",693
"209","neutral",12,5,9,7,"B",678
"210","neutral",12,5,10,6,"B",699
"211","neutral",12,6,1,2,"A",1358
"212","neutral",12,6,2,1,"A",645
"213","neutral",12,6,3,4,"A",518
"214","neutral",12,6,4,6,"B",561
"215","neutral",12,6,5,3,"B",649
"216","neutral",12,6,6,5,"A",602
"217","neutral",12,6,7,10,"B",961
"218","neutral",12,6,8,8,"A",964
"219","neutral",12,6,9,7,"B",599
"220","neutral",12,6,10,9,"B",798
"221","neutral",12,7,1,9,"B",6705
"222","neutral",12,7,2,10,"B",605
"223","neutral",12,7,3,7,"B",684
"224","neutral",12,7,4,1,"A",1436
"225","neutral",12,7,5,6,"B",689
"226","neutral",12,7,6,3,"B",551
"227","neutral",12,7,7,5,"A",550
"228","neutral",12,7,8,8,"A",767
"229","neutral",12,7,9,4,"A",525
"230","neutral",12,7,10,2,"A",726
"231","neutral",12,8,1,6,"B",1001
"232","neutral",12,8,2,9,"B",760
"233","neutral",12,8,3,3,"B",569
"234","neutral",12,8,4,7,"B",525
"235","neutral",12,8,5,5,"A",608
"236","neutral",12,8,6,4,"A",608
"237","neutral",12,8,7,2,"A",649
"238","neutral",12,8,8,10,"B",642
"239","neutral",12,8,9,1,"A",647
"240","neutral",12,8,10,8,"A",728
"241","neutral",13,1,1,10,"B",4089
"242","neutral",13,1,2,1,"A",5008
"243","neutral",13,1,3,3,"A",2379
"244","neutral",13,1,4,5,"B",4874
"245","neutral",13,1,5,9,"B",2216
"246","neutral",13,1,6,6,"B",2419
"247","neutral",13,1,7,8,"B",7006
"248","neutral",13,1,8,2,"A",3735
"249","neutral",13,1,9,4,"A",3528
"250","neutral",13,1,10,7,"B",2779
"251","neutral",13,2,1,6,"B",8808
"252","neutral",13,2,2,8,"B",2067
"253","neutral",13,2,3,3,"A",3340
"254","neutral",13,2,4,7,"B",2789
"255","neutral",13,2,5,9,"B",1946
"256","neutral",13,2,6,5,"A",6191
"257","neutral",13,2,7,4,"A",3304
"258","neutral",13,2,8,1,"A",1557
"259","neutral",13,2,9,10,"B",3655
"260","neutral",13,2,10,2,"A",1081
"261","neutral",13,3,1,9,"B",5080
"262","neutral",13,3,2,5,"A",5875
"263","neutral",13,3,3,3,"B",2065
"264","neutral",13,3,4,1,"A",2190
"265","neutral",13,3,5,8,"A",1839
"266","neutral",13,3,6,6,"B",1394
"267","neutral",13,3,7,7,"B",1280
"268","neutral",13,3,8,10,"B",1124
"269","neutral",13,3,9,2,"A",844
"270","neutral",13,3,10,4,"A",1639
"271","neutral",13,4,1,4,"A",3504
"272","neutral",13,4,2,9,"B",2230
"273","neutral",13,4,3,7,"B",1558
"274","neutral",13,4,4,1,"A",3139
"275","neutral",13,4,5,6,"B",1361
"276","neutral",13,4,6,10,"B",5491
"277","neutral",13,4,7,8,"B",5163
"278","neutral",13,4,8,2,"A",1279
"279","neutral",13,4,9,3,"A",1084
"280","neutral",13,4,10,5,"A",2979
"281","neutral",13,5,1,7,"B",6150
"282","neutral",13,5,2,9,"B",2914
"283","neutral",13,5,3,8,"B",2389
"284","neutral",13,5,4,5,"A",4880
"285","neutral",13,5,5,6,"B",2825
"286","neutral",13,5,6,4,"A",1738
"287","neutral",13,5,7,10,"B",2111
"288","neutral",13,5,8,2,"A",1754
"289","neutral",13,5,9,3,"A",2383
"290","neutral",13,5,10,1,"A",1160
"291","neutral",13,6,1,8,"B",7696
"292","neutral",13,6,2,5,"A",2629
"293","neutral",13,6,3,4,"A",1594
"294","neutral",13,6,4,2,"A",1992
"295","neutral",13,6,5,6,"B",1356
"296","neutral",13,6,6,7,"B",1514
"297","neutral",13,6,7,9,"B",1994
"298","neutral",13,6,8,10,"A",4687
"299","neutral",13,6,9,3,"A",1908
"300","neutral",13,6,10,1,"A",840
"301","neutral",13,7,1,6,"B",6425
"302","neutral",13,7,2,5,"A",2271
"303","neutral",13,7,3,3,"B",3452
"304","neutral",13,7,4,1,"A",1206
"305","neutral",13,7,5,7,"B",1360
"306","neutral",13,7,6,9,"B",884
"307","neutral",13,7,7,10,"B",681
"308","neutral",13,7,8,2,"A",996
"309","neutral",13,7,9,4,"A",735
"310","neutral",13,7,10,8,"A",1201
"311","neutral",13,8,1,5,"A",8215
"312","neutral",13,8,2,3,"A",2390
"313","neutral",13,8,3,6,"B",1671
"314","neutral",13,8,4,10,"A",4483
"315","neutral",13,8,5,2,"A",649
"316","neutral",13,8,6,1,"A",1237
"317","neutral",13,8,7,8,"A",2582
"318","neutral",13,8,8,7,"B",1081
"319","neutral",13,8,9,9,"B",796
"320","neutral",13,8,10,4,"A",1003
"321","neutral",14,1,1,3,"A",10345
"322","neutral",14,1,2,7,"A",6299
"323","neutral",14,1,3,6,"B",2812
"324","neutral",14,1,4,9,"B",4079
"325","neutral",14,1,5,10,"B",2222
"326","neutral",14,1,6,5,"A",1924
"327","neutral",14,1,7,2,"B",6264
"328","neutral",14,1,8,4,"A",5111
"329","neutral",14,1,9,8,"B",5773
"330","neutral",14,1,10,1,"A",5042
"331","neutral",14,2,1,3,"A",3730
"332","neutral",14,2,2,4,"A",1271
"333","neutral",14,2,3,9,"B",2780
"334","neutral",14,2,4,5,"A",3692
"335","neutral",14,2,5,1,"A",2519
"336","neutral",14,2,6,8,"B",4323
"337","neutral",14,2,7,10,"B",1910
"338","neutral",14,2,8,6,"B",4881
"339","neutral",14,2,9,2,"B",5243
"340","neutral",14,2,10,7,"A",2348
"341","neutral",14,3,1,6,"B",3215
"342","neutral",14,3,2,4,"A",6346
"343","neutral",14,3,3,10,"B",2464
"344","neutral",14,3,4,9,"B",2624
"345","neutral",14,3,5,8,"B",10900
"346","neutral",14,3,6,3,"A",7267
"347","neutral",14,3,7,2,"A",8514
"348","neutral",14,3,8,5,"A",3376
"349","neutral",14,3,9,1,"A",4173
"350","neutral",14,3,10,7,"B",4261
"351","neutral",14,4,1,4,"A",11180
"352","neutral",14,4,2,10,"B",5003
"353","neutral",14,4,3,1,"A",3770
"354","neutral",14,4,4,5,"A",4802
"355","neutral",14,4,5,2,"A",8443
"356","neutral",14,4,6,9,"B",4286
"357","neutral",14,4,7,8,"B",5159
"358","neutral",14,4,8,6,"B",4365
"359","neutral",14,4,9,3,"A",7474
"360","neutral",14,4,10,7,"B",4612
"361","neutral",14,5,1,6,"B",7939
"362","neutral",14,5,2,10,"B",2346
"363","neutral",14,5,3,4,"A",2862
"364","neutral",14,5,4,9,"B",4802
"365","neutral",14,5,5,1,"A",6184
"366","neutral",14,5,6,8,"B",3536
"367","neutral",14,5,7,3,"A",8094
"368","neutral",14,5,8,5,"A",4845
"369","neutral",14,5,9,7,"B",8093
"370","neutral",14,5,10,2,"A",4102
"371","neutral",14,6,1,2,"A",12805
"372","neutral",14,6,2,8,"B",5161
"373","neutral",14,6,3,7,"B",3893
"374","neutral",14,6,4,4,"A",4135
"375","neutral",14,6,5,5,"A",6862
"376","neutral",14,6,6,3,"A",17886
"377","neutral",14,6,7,6,"B",5671
"378","neutral",14,6,8,9,"B",7422
"379","neutral",14,6,9,1,"A",10114
"380","neutral",14,6,10,10,"B",3452
"381","neutral",14,7,1,6,"B",7019
"382","neutral",14,7,2,9,"B",3058
"383","neutral",14,7,3,3,"A",3471
"384","neutral",14,7,4,8,"B",2844
"385","neutral",14,7,5,2,"A",2688
"386","neutral",14,7,6,5,"A",3377
"387","neutral",14,7,7,4,"A",2858
"388","neutral",14,7,8,10,"B",4215
"389","neutral",14,7,9,1,"A",2223
"390","neutral",14,7,10,7,"B",4601
"391","neutral",14,8,1,5,"A",6546
"392","neutral",14,8,2,2,"A",3413
"393","neutral",14,8,3,8,"B",40274
"394","neutral",14,8,4,1,"A",4733
"395","neutral",14,8,5,4,"A",6851
"396","neutral",14,8,6,9,"B",4877
"397","neutral",14,8,7,7,"B",4724
"398","neutral",14,8,8,3,"A",2861
"399","neutral",14,8,9,10,"B",4207
"400","neutral",14,8,10,6,"B",4963
"401","neutral",15,1,1,6,"B",8771
"402","neutral",15,1,2,3,"B",1946
"403","neutral",15,1,3,10,"B",1554
"404","neutral",15,1,4,9,"B",1710
"405","neutral",15,1,5,5,"A",3218
"406","neutral",15,1,6,4,"A",2031
"407","neutral",15,1,7,7,"B",13565
"408","neutral",15,1,8,1,"A",1788
"409","neutral",15,1,9,2,"B",956
"410","neutral",15,1,10,8,"B",1040
"411","neutral",15,2,1,10,"B",87394
"412","neutral",15,2,2,9,"B",2432
"413","neutral",15,2,3,3,"A",1716
