"date","subj","cbal","keyb","phase","block","trial","stim","vtft","ftpks","pk1acc","totpks","pos1rt","neg1rt"
2007-01-22,1,1,"right",3,2,19,"S3420",2,3,"*",10,-1,534
2007-01-22,1,1,"right",3,2,20,"S7460",2,0,"L",1,616,-1
2007-01-22,1,1,"right",3,2,21,"S3420",3,2,"*",9,-1,616
2007-01-22,1,1,"right",3,2,22,"S7820",2,0,"L",1,575,-1
2007-01-22,1,1,"right",3,2,23,"S7860",2,2,"*",7,556,-1
2007-01-22,1,1,"right",3,2,24,"S3460",2,0,"R",1,-1,842
2007-01-22,1,1,"right",3,2,25,"S7860",3,3,"*",9,493,-1
2007-01-22,1,1,"right",3,2,26,"S3860",3,0,"L",1,473,-1
2007-01-22,1,1,"right",3,2,27,"S3420",2,1,"*",5,-1,678
2007-01-22,1,1,"right",3,2,28,"S7820",3,0,"L",1,595,-1
2007-01-22,1,1,"right",3,2,29,"S7860",3,0,"*",7,1026,-1
2007-01-22,1,1,"right",3,2,30,"S3860",2,0,"R",1,-1,780
2007-01-22,1,1,"right",3,2,31,"S3420",3,1,"*",8,-1,843
2007-01-22,1,1,"right",3,2,32,"S3420",3,2,"*",8,-1,678
2007-01-22,1,1,"right",3,2,33,"S7860",3,2,"*",6,554,-1
2007-01-22,1,1,"right",3,2,34,"S3420",2,3,"*",7,-1,473
2007-01-22,1,1,"right",3,2,35,"S3420",3,3,"*",9,-1,514
2007-01-22,1,1,"right",3,2,36,"S3420",3,0,"R",1,-1,780
2007-01-22,1,1,"right",3,2,37,"S3420",3,2,"*",7,-1,473
2007-01-22,1,1,"right",3,2,38,"S7860",2,2,"*",4,576,-1
2007-01-22,1,1,"right",3,2,39,"S7860",3,2,"*",10,495,-1
2007-01-22,1,1,"right",3,2,40,"S3460",2,0,"R",1,-1,946
2007-01-22,2,6,"right",1,1,1,"S1000",1,0,"*",1,-1,15665
2007-01-22,2,6,"right",1,1,2,"S0020",1,1,"*",2,981,2950
2007-01-22,2,6,"right",1,1,3,"S0100",1,0,"*",1,-1,1084
2007-01-22,2,6,"right",1,1,4,"S0001",1,1,"*",2,-1,673
2007-01-22,2,6,"right",1,1,5,"S0002",1,0,"+",1,5555,982
2007-01-22,2,6,"right",1,1,6,"S2000",1,0,"+",1,3094,838
2007-01-22,2,6,"right",1,1,7,"S0010",1,1,"*",2,-1,756
2007-01-22,2,6,"right",1,1,8,"S0200",1,0,"+",1,1965,878
2007-01-22,2,6,"right",1,1,9,"S1000",1,1,"*",2,-1,776
2007-01-22,2,6,"right",1,1,10,"S0002",1,1,"*",2,674,-1
2007-01-22,2,6,"right",1,1,11,"S2000",1,0,"+",1,2765,633
2007-01-22,2,6,"right",1,1,12,"S0100",1,1,"*",2,-1,673
2007-01-22,2,6,"right",1,1,13,"S0001",1,0,"*",1,-1,1413
2007-01-22,2,6,"right",1,1,14,"S0200",1,0,"+",1,2068,735
2007-01-22,2,6,"right",1,1,15,"S0010",1,1,"*",2,-1,633
2007-01-22,2,6,"right",1,1,16,"S0020",1,0,"+",1,2909,776
2007-01-22,2,6,"right",1,1,17,"S1000",1,0,"+",1,837,2170
2007-01-22,2,6,"right",1,1,18,"S0020",1,1,"*",2,714,-1
2007-01-22,2,6,"right",1,1,19,"S0002",1,2,"*",3,673,2272
2007-01-22,2,6,"right",1,1,20,"S0010",1,0,"*",1,-1,2559
2007-01-22,2,6,"right",1,1,21,"S2000",1,0,"*",1,2006,-1
2007-01-22,2,6,"right",1,1,22,"S0200",1,1,"*",2,816,-1
2007-01-22,2,6,"right",1,1,23,"S0100",1,1,"*",2,-1,816
2007-01-22,2,6,"right",1,1,24,"S0001",1,0,"*",1,-1,1966
2007-01-22,2,6,"right",1,1,25,"S0002",1,0,"+",1,4775,529
2007-01-22,2,6,"right",1,1,26,"S0010",1,1,"*",2,-1,611
2007-01-22,2,6,"right",1,1,27,"S1000",1,0,"+",1,878,5861
2007-01-22,2,6,"right",1,1,28,"S0020",1,0,"+",1,1144,631
2007-01-22,2,6,"right",1,1,29,"S2000",1,1,"*",2,796,-1
2007-01-22,2,6,"right",1,1,30,"S0001",1,1,"*",2,-1,530
2007-01-22,2,6,"right",1,1,31,"S0200",1,2,"*",3,611,2805
2007-01-22,2,6,"right",1,1,32,"S0100",1,1,"*",2,3175,673
2007-01-22,2,6,"right",1,1,33,"S0002",1,1,"*",2,837,-1
2007-01-22,2,6,"right",1,1,34,"S0010",1,0,"+",1,796,3298
2007-01-22,2,6,"right",1,1,35,"S2000",1,1,"*",2,735,-1
2007-01-22,2,6,"right",1,1,36,"S0100",1,0,"*",1,-1,2006
2007-01-22,2,6,"right",1,1,37,"S0200",1,1,"*",2,878,-1
2007-01-22,2,6,"right",1,1,38,"S0001",1,0,"*",1,-1,1862
2007-01-22,2,6,"right",1,1,39,"S1000",1,0,"+",1,1719,3503
2007-01-22,2,6,"right",1,1,40,"S0020",1,0,"+",1,2498,509
2007-01-22,2,6,"right",1,1,41,"S1000",1,0,"+",1,796,1719
2007-01-22,2,6,"right",1,1,42,"S0001",1,0,"*",1,-1,3975
2007-01-22,2,6,"right",1,1,43,"S2000",1,0,"+",1,2231,755
2007-01-22,2,6,"right",1,1,44,"S0002",1,2,"*",3,631,-1
2007-01-22,2,6,"right",1,1,45,"S0010",1,1,"*",2,-1,632
2007-01-22,2,6,"right",1,1,46,"S0100",1,1,"*",2,-1,591
2007-01-22,2,6,"right",1,1,47,"S0020",1,0,"+",1,2724,591
2007-01-22,2,6,"right",1,1,48,"S0200",1,0,"+",1,3092,487
2007-01-22,2,6,"right",1,1,49,"S1000",1,1,"*",2,-1,836
2007-01-22,2,6,"right",1,1,50,"S0002",1,1,"*",2,714,-1
2007-01-22,2,6,"right",1,1,51,"S0200",1,2,"*",3,713,-1
2007-01-22,2,6,"right",1,1,52,"S0010",1,0,"+",1,1041,3544
2007-01-22,2,6,"right",1,1,53,"S0020",1,2,"*",3,672,-1
2007-01-22,2,6,"right",1,1,54,"S0100",1,1,"*",2,-1,693
2007-01-22,2,6,"right",1,1,55,"S2000",1,0,"+",1,5697,776
2007-01-22,2,6,"right",1,1,56,"S0001",1,0,"+",1,816,4016
2007-01-22,2,6,"right",1,1,57,"S0200",1,0,"*",1,1165,-1
2007-01-22,2,6,"right",1,1,58,"S0002",1,1,"*",2,981,-1
2007-01-22,2,6,"right",1,1,59,"S0010",1,1,"*",2,-1,735
2007-01-22,2,6,"right",1,1,60,"S0100",1,1,"*",2,-1,652
2007-01-22,2,6,"right",1,1,61,"S2000",1,0,"+",1,2477,1184
2007-01-22,2,6,"right",1,1,62,"S0001",1,0,"+",1,694,3749
2007-01-22,2,6,"right",1,1,63,"S0020",1,0,"+",1,7995,6046
2007-01-22,2,6,"right",1,1,64,"S1000",1,0,"+",1,2047,8897
2007-01-22,2,6,"right",1,2,1,"S0020",1,0,"+",1,5799,1308
2007-01-22,2,6,"right",1,2,2,"S0200",1,0,"*",1,1348,-1
2007-01-22,2,6,"right",1,2,3,"S1000",1,0,"+",1,3358,6722
2007-01-22,2,6,"right",1,2,4,"S0100",1,0,"+",1,5040,8998
2007-01-22,2,6,"right",1,2,5,"S2000",1,0,"+",1,6968,733
2007-01-22,2,6,"right",1,2,6,"S0001",1,2,"*",3,3404,611
2007-01-22,2,6,"right",1,2,7,"S0010",1,0,"*",1,-1,1288
2007-01-22,2,6,"right",1,2,8,"S0002",1,1,"*",2,836,-1
2007-01-22,2,6,"right",1,2,9,"S1000",1,2,"*",3,-1,570
2007-01-22,2,6,"right",1,2,10,"S0010",1,0,"+",1,918,3830
2007-01-22,2,6,"right",1,2,11,"S0002",1,0,"*",1,2456,-1
2007-01-22,2,6,"right",1,2,12,"S0020",1,1,"*",2,898,-1
