subj	cond	cb	keyb	phase	blk	trial	stim	resp	rt	conf	confrt
7103	1	3	1	1	1	2	2	0	1730	0	0
7103	1	3	1	1	1	3	6	1	995	0	0
7103	1	3	1	1	1	4	4	0	2283	0	0
7103	1	3	1	1	1	5	7	1	325	0	0
7103	1	3	1	1	1	6	8	0	850	0	0
7103	1	3	1	1	1	7	1	1	1232	0	0
7103	1	3	1	1	1	8	3	1	261	0	0
7103	1	3	1	1	2	9	5	1	685	0	0
7103	1	3	1	1	2	10	6	1	667	0	0
7103	1	3	1	1	2	11	8	0	338	0	0
7103	1	3	1	1	2	12	1	1	2584	0	0
7103	1	3	1	1	2	13	2	1	716	0	0
7103	1	3	1	1	2	14	7	1	105	0	0
7103	1	3	1	1	2	15	4	1	134	0	0
7103	1	3	1	1	2	16	3	1	419	0	0
7103	1	3	1	1	3	17	2	1	919	0	0
7103	1	3	1	1	3	18	4	1	278	0	0
7103	1	3	1	1	3	19	6	1	367	0	0
7103	1	3	1	1	3	20	8	1	609	0	0
7103	1	3	1	1	3	21	5	1	354	0	0
7103	1	3	1	1	3	22	1	1	438	0	0
7103	1	3	1	1	3	23	7	1	750	0	0
7103	1	3	1	1	3	24	3	1	648	0	0
7103	1	3	1	2	1	1	11	0	395	0	0
7103	1	3	1	2	1	2	2	1	1708	0	0
7103	1	3	1	2	1	3	7	0	311	0	0
7103	1	3	1	2	1	4	13	0	839	0	0
7103	1	3	1	2	1	5	16	1	458	0	0
7103	1	3	1	2	1	6	8	0	1207	0	0
7103	1	3	1	2	1	7	12	1	273	0	0
7103	1	3	1	2	1	8	1	1	296	0	0
7103	1	3	1	2	1	9	3	1	402	0	0
7103	1	3	1	2	1	10	14	1	523	0	0
7103	1	3	1	2	1	11	6	0	612	0	0
7103	1	3	1	2	1	12	9	0	91	0	0
7103	1	3	1	2	1	13	10	1	283	0	0
7103	1	3	1	2	1	14	5	0	227	0	0
7103	1	3	1	2	1	15	15	0	862	0	0
7103	1	3	1	2	1	16	4	1	317	0	0
7103	1	3	1	2	2	17	3	1	1535	0	0
7103	1	3	1	2	2	18	15	0	438	0	0
7103	1	3	1	2	2	19	14	1	608	0	0
7103	1	3	1	2	2	20	4	1	330	0	0
7103	1	3	1	2	2	21	5	0	296	0	0
7103	1	3	1	2	2	22	8	0	436	0	0
7103	1	3	1	2	2	23	9	0	410	0	0
7103	1	3	1	2	2	24	10	1	486	0	0
7103	1	3	1	2	2	25	16	1	462	0	0
7103	1	3	1	2	2	26	12	1	484	0	0
7103	1	3	1	2	2	27	11	0	251	0	0
7103	1	3	1	2	2	28	2	1	390	0	0
7103	1	3	1	2	2	29	6	0	626	0	0
7103	1	3	1	2	2	30	1	1	242	0	0
7103	1	3	1	2	2	31	7	0	301	0	0
7103	1	3	1	2	2	32	13	0	402	0	0
7103	1	3	1	2	3	33	10	1	271	0	0
7103	1	3	1	2	3	34	15	0	573	0	0
7103	1	3	1	2	3	35	4	1	393	0	0
7103	1	3	1	2	3	36	1	1	357	0	0
7103	1	3	1	2	3	37	13	0	234	0	0
7103	1	3	1	2	3	38	8	0	200	0	0
