"","cond","subj","phase","block","trial","stim","resp","rt","rtiti"
"239","noload",10,"exp",10,9,9,"A",4,273
"240","noload",10,"exp",10,10,6,"B",376,355
"241","noload",10,"exp",11,1,8,"A",1125,151
"242","noload",10,"exp",11,2,10,"B",235,236
"243","noload",10,"exp",11,3,3,"B",374,148
"244","noload",10,"exp",11,4,6,"B",277,157
"245","noload",10,"exp",11,5,9,"B",347,164
"246","noload",10,"exp",11,6,2,"A",345,222
"247","noload",10,"exp",11,7,5,"A",535,164
"248","noload",10,"exp",11,8,4,"A",386,211
"249","noload",10,"exp",11,9,7,"B",198,336
"250","noload",10,"exp",11,10,1,"A",371,607
"251","noload",10,"exp",12,1,4,"A",651,126
"252","noload",10,"exp",12,2,8,"A",600,147
"253","noload",10,"exp",12,3,6,"B",747,83
"254","noload",10,"exp",12,4,5,"A",223,301
"255","noload",10,"exp",12,5,1,"A",277,189
"256","noload",10,"exp",12,6,2,"A",275,140
"257","noload",10,"exp",12,7,7,"B",316,158
"258","noload",10,"exp",12,8,10,"A",328,1067
"259","noload",10,"exp",12,9,3,"B",213,290
"260","noload",10,"exp",12,10,9,"B",414,418
"261","noload",11,"prac",0,1,0,"B",182,1322
"262","noload",11,"prac",0,2,0,"B",588,708
"263","noload",11,"prac",0,3,0,"B",453,451
"264","noload",11,"prac",0,4,0,"A",239,353
"265","noload",11,"prac",0,5,0,"A",235,379
"266","noload",11,"prac",0,6,0,"B",133,515
"267","noload",11,"prac",0,7,0,"A",460,427
"268","noload",11,"prac",0,8,0,"B",88,492
"269","noload",11,"prac",0,9,0,"A",332,383
"270","noload",11,"prac",0,10,0,"A",298,312
"271","noload",11,"exp",1,1,3,"B",388,1877
"272","noload",11,"exp",1,2,2,"A",1101,554
"273","noload",11,"exp",1,3,7,"B",508,997
"274","noload",11,"exp",1,4,8,"A",1805,743
"275","noload",11,"exp",1,5,5,"A",1866,931
"276","noload",11,"exp",1,6,1,"A",679,403
"277","noload",11,"exp",1,7,10,"B",1237,558
"278","noload",11,"exp",1,8,6,"B",440,355
"279","noload",11,"exp",1,9,9,"B",425,383
"280","noload",11,"exp",1,10,4,"A",349,404
"281","noload",11,"exp",2,1,10,"A",8846,1759
"282","noload",11,"exp",2,2,1,"A",457,280
"283","noload",11,"exp",2,3,4,"A",1261,746
"284","noload",11,"exp",2,4,7,"B",792,327
"285","noload",11,"exp",2,5,2,"A",375,278
"286","noload",11,"exp",2,6,9,"B",468,388
"287","noload",11,"exp",2,7,3,"A",1837,270
"288","noload",11,"exp",2,8,6,"B",637,364
"289","noload",11,"exp",2,9,5,"B",2248,557
"290","noload",11,"exp",2,10,8,"B",1129,348
"291","noload",11,"exp",3,1,2,"A",294,307
"292","noload",11,"exp",3,2,9,"B",260,201
"293","noload",11,"exp",3,3,8,"A",804,376
"294","noload",11,"exp",3,4,10,"B",623,427
"295","noload",11,"exp",3,5,3,"A",1482,359
"296","noload",11,"exp",3,6,1,"A",324,343
"297","noload",11,"exp",3,7,4,"A",405,312
"298","noload",11,"exp",3,8,6,"B",516,316
"299","noload",11,"exp",3,9,5,"B",5342,462
"300","noload",11,"exp",3,10,7,"B",203,276
"301","noload",11,"exp",4,1,4,"A",441,374
"302","noload",11,"exp",4,2,7,"B",365,361
"303","noload",11,"exp",4,3,2,"A",811,365
"304","noload",11,"exp",4,4,3,"A",2158,547
"305","noload",11,"exp",4,5,8,"B",596,588
"306","noload",11,"exp",4,6,5,"A",717,493
"307","noload",11,"exp",4,7,9,"B",298,295
"308","noload",11,"exp",4,8,6,"B",309,325
"309","noload",11,"exp",4,9,1,"A",383,379
"310","noload",11,"exp",4,10,10,"B",758,464
"311","noload",11,"exp",5,1,9,"B",286,296
"312","noload",11,"exp",5,2,3,"B",528,297
"313","noload",11,"exp",5,3,10,"B",232,488
"314","noload",11,"exp",5,4,7,"B",262,411
"315","noload",11,"exp",5,5,8,"A",1677,318
"316","noload",11,"exp",5,6,1,"A",440,370
"317","noload",11,"exp",5,7,4,"A",171,317
"318","noload",11,"exp",5,8,5,"B",798,445
"319","noload",11,"exp",5,9,2,"A",356,285
"320","noload",11,"exp",5,10,6,"B",161,275
"321","noload",11,"exp",6,1,7,"B",494,357
"322","noload",11,"exp",6,2,3,"B",581,348
"323","noload",11,"exp",6,3,1,"A",307,450
"324","noload",11,"exp",6,4,8,"B",669,293
"325","noload",11,"exp",6,5,9,"B",221,299
"326","noload",11,"exp",6,6,2,"A",428,341
"327","noload",11,"exp",6,7,4,"A",231,312
"328","noload",11,"exp",6,8,6,"B",282,613
"329","noload",11,"exp",6,9,10,"A",1123,457
"330","noload",11,"exp",6,10,5,"B",359,559
"331","noload",11,"exp",7,1,2,"A",345,238
"332","noload",11,"exp",7,2,9,"B",118,381
"333","noload",11,"exp",7,3,3,"B",449,458
"334","noload",11,"exp",7,4,10,"A",602,468
"335","noload",11,"exp",7,5,8,"B",1165,694
"336","noload",11,"exp",7,6,1,"A",291,383
"337","noload",11,"exp",7,7,4,"A",249,348
"338","noload",11,"exp",7,8,6,"B",166,282
"339","noload",11,"exp",7,9,5,"B",1077,413
"340","noload",11,"exp",7,10,7,"B",334,387
"341","noload",11,"exp",8,1,3,"B",521,356
"342","noload",11,"exp",8,2,10,"B",1222,332
"343","noload",11,"exp",8,3,1,"A",127,362
"344","noload",11,"exp",8,4,7,"B",247,363
"345","noload",11,"exp",8,5,2,"A",310,391
"346","noload",11,"exp",8,6,4,"A",186,419
"347","noload",11,"exp",8,7,6,"B",175,291
"348","noload",11,"exp",8,8,9,"B",214,260
"349","noload",11,"exp",8,9,5,"B",593,314
"350","noload",11,"exp",8,10,8,"B",41,307
"351","noload",11,"exp",9,1,8,"A",1134,374
"352","noload",11,"exp",9,2,4,"A",1350,633
"353","noload",11,"exp",9,3,2,"A",412,371
"354","noload",11,"exp",9,4,5,"A",538,263
"355","noload",11,"exp",9,5,3,"B",272,328
"356","noload",11,"exp",9,6,10,"B",1504,558
"357","noload",11,"exp",9,7,7,"B",277,542
"358","noload",11,"exp",9,8,1,"A",2422,461
"359","noload",11,"exp",9,9,9,"B",435,364
"360","noload",11,"exp",9,10,6,"B",271,294
"361","noload",11,"exp",10,1,3,"B",654,371
"362","noload",11,"exp",10,2,9,"B",548,260
"363","noload",11,"exp",10,3,1,"A",279,334
"364","noload",11,"exp",10,4,6,"B",345,381
"365","noload",11,"exp",10,5,5,"A",1583,429
"366","noload",11,"exp",10,6,10,"B",192,297
"367","noload",11,"exp",10,7,4,"A",384,366
"368","noload",11,"exp",10,8,8,"A",440,307
"369","noload",11,"exp",10,9,7,"B",229,292
"370","noload",11,"exp",10,10,2,"A",425,350
"371","noload",11,"exp",11,1,9,"B",518,415
"372","noload",11,"exp",11,2,7,"B",310,341
"373","noload",11,"exp",11,3,4,"A",311,535
"374","noload",11,"exp",11,4,2,"A",284,407
"375","noload",11,"exp",11,5,6,"B",488,317
"376","noload",11,"exp",11,6,1,"A",359,290
"377","noload",11,"exp",11,7,8,"A",3631,633
"378","noload",11,"exp",11,8,3,"B",745,253
"379","noload",11,"exp",11,9,5,"A",373,260
"380","noload",11,"exp",11,10,10,"B",362,276
"381","noload",11,"exp",12,1,4,"A",344,239
"382","noload",11,"exp",12,2,10,"B",859,378
"383","noload",11,"exp",12,3,2,"A",334,290
"384","noload",11,"exp",12,4,3,"B",671,342
"385","noload",11,"exp",12,5,8,"A",507,244
"386","noload",11,"exp",12,6,5,"A",325,313
"387","noload",11,"exp",12,7,6,"B",440,273
"388","noload",11,"exp",12,8,1,"A",252,285
"389","noload",11,"exp",12,9,7,"B",332,319
"390","noload",11,"exp",12,10,9,"B",422,281
"391","noload",13,"prac",0,1,0,"A",3030,1833
"392","noload",13,"prac",0,2,0,"A",1448,1133
"393","noload",13,"prac",0,3,0,"A",2079,723
"394","noload",13,"prac",0,4,0,"B",1007,1530
"395","noload",13,"prac",0,5,0,"A",1609,1229
"396","noload",13,"prac",0,6,0,"A",1270,838
"397","noload",13,"prac",0,7,0,"B",2675,1149
"398","noload",13,"prac",0,8,0,"B",1783,655
"399","noload",13,"prac",0,9,0,"B",1017,615
"400","noload",13,"prac",0,10,0,"B",1069,678
"401","noload",13,"exp",1,1,7,"B",1062,1261
"402","noload",13,"exp",1,2,5,"A",2380,1212
"403","noload",13,"exp",1,3,1,"A",1297,791
"404","noload",13,"exp",1,4,4,"A",1683,502
"405","noload",13,"exp",1,5,10,"B",1493,755
"406","noload",13,"exp",1,6,6,"B",1404,726
"407","noload",13,"exp",1,7,3,"B",1558,607
"408","noload",13,"exp",1,8,8,"A",976,711
"409","noload",13,"exp",1,9,9,"B",978,568
"410","noload",13,"exp",1,10,2,"A",668,709
"411","noload",13,"exp",2,1,5,"A",743,606
"412","noload",13,"exp",2,2,10,"B",908,468
"413","noload",13,"exp",2,3,9,"B",986,530
"414","noload",13,"exp",2,4,6,"B",1546,548
"415","noload",13,"exp",2,5,4,"A",811,382
"416","noload",13,"exp",2,6,7,"B",772,479
"417","noload",13,"exp",2,7,3,"B",1342,428
"418","noload",13,"exp",2,8,2,"A",764,471
"419","noload",13,"exp",2,9,1,"A",628,325
"420","noload",13,"exp",2,10,8,"A",1034,331
"421","noload",13,"exp",3,1,4,"A",742,429
"422","noload",13,"exp",3,2,8,"A",485,584
"423","noload",13,"exp",3,3,10,"B",635,829
"424","noload",13,"exp",3,4,6,"B",512,456
"425","noload",13,"exp",3,5,7,"B",790,502
"426","noload",13,"exp",3,6,1,"A",643,455
"427","noload",13,"exp",3,7,5,"B",1116,571
"428","noload",13,"exp",3,8,9,"B",508,404
"429","noload",13,"exp",3,9,2,"A",1527,618
"430","noload",13,"exp",3,10,3,"B",381,426
"431","noload",13,"exp",4,1,2,"A",798,286
"432","noload",13,"exp",4,2,9,"B",845,967
"433","noload",13,"exp",4,3,10,"B",1316,828
"434","noload",13,"exp",4,4,5,"A",1017,567
"435","noload",13,"exp",4,5,6,"B",757,461
"436","noload",13,"exp",4,6,3,"B",2011,512
"437","noload",13,"exp",4,7,7,"B",633,602
"438","noload",13,"exp",4,8,1,"A",760,467
"439","noload",13,"exp",4,9,8,"A",1306,515
"440","noload",13,"exp",4,10,4,"A",842,487
"441","noload",13,"exp",5,1,8,"A",853,403
"442","noload",13,"exp",5,2,3,"B",682,340
"443","noload",13,"exp",5,3,5,"A",1063,654
"444","noload",13,"exp",5,4,7,"B",1770,510
"445","noload",13,"exp",5,5,9,"B",1078,355
"446","noload",13,"exp",5,6,2,"A",1641,581
"447","noload",13,"exp",5,7,10,"B",936,390
"448","noload",13,"exp",5,8,6,"B",688,475
"449","noload",13,"exp",5,9,4,"A",761,420
"450","noload",13,"exp",5,10,1,"A",583,398
"451","noload",13,"exp",6,1,10,"B",830,327
"452","noload",13,"exp",6,2,2,"A",730,285
"453","noload",13,"exp",6,3,3,"B",611,446
"454","noload",13,"exp",6,4,5,"A",184,972
"455","noload",13,"exp",6,5,4,"A",1503,285
"456","noload",13,"exp",6,6,6,"B",769,299
"457","noload",13,"exp",6,7,9,"B",438,638
