subj,block,trial,stim,resp,rt
7,6,10,1,A,932
7,7,1,7,B,5093
7,7,2,5,A,5176
7,7,3,3,B,2018
7,7,4,1,A,2458
7,7,5,2,A,2577
7,7,6,4,A,1931
7,7,7,8,A,2533
7,7,8,6,B,16315
7,7,9,10,B,20120
7,7,10,9,B,1340
7,8,1,9,B,1431
7,8,2,7,B,1101
7,8,3,8,A,2019
7,8,4,3,A,4616
7,8,5,10,B,3371
7,8,6,5,A,6892
7,8,7,6,B,2337
7,8,8,4,A,5972
7,8,9,1,A,1695
7,8,10,2,A,3731
8,1,1,10,B,6457
8,1,2,4,B,5855
8,1,3,3,A,5334
8,1,4,2,A,7091
8,1,5,5,A,3775
8,1,6,9,B,5857
8,1,7,1,A,4700
8,1,8,7,B,3852
8,1,9,6,B,5734
8,1,10,8,B,5626
8,2,1,8,B,7170
8,2,2,7,B,3026
8,2,3,4,A,4822
8,2,4,3,A,3678
8,2,5,1,A,4157
8,2,6,5,A,11487
8,2,7,10,B,3660
8,2,8,6,B,3731
8,2,9,2,A,4570
8,2,10,9,B,9331
8,3,1,2,A,4051
8,3,2,9,B,10408
8,3,3,10,B,5972
8,3,4,6,B,16257
8,3,5,8,B,8417
8,3,6,3,A,6169
8,3,7,1,A,5691
8,3,8,7,B,8053
8,3,9,5,A,12815
8,3,10,4,A,9131
8,4,1,7,B,11174
8,4,2,6,B,9688
8,4,3,9,B,7191
8,4,4,10,B,8897
8,4,5,2,A,3940
8,4,6,1,A,3581
8,4,7,4,A,3344
8,4,8,8,B,6531
8,4,9,3,A,7259
8,4,10,5,A,7025
8,5,1,6,B,6415
8,5,2,2,A,5101
8,5,3,3,A,5655
8,5,4,8,B,6374
8,5,5,10,B,6936
8,5,6,5,A,5932
8,5,7,4,A,5368
8,5,8,7,B,10847
8,5,9,9,B,5695
8,5,10,1,A,7818
8,6,1,4,A,8698
8,6,2,8,B,7220
8,6,3,9,B,6611
8,6,4,3,A,6029
8,6,5,5,A,6360
8,6,6,7,B,6215
8,6,7,2,A,7729
8,6,8,1,A,10500
8,6,9,6,B,6420
8,6,10,10,A,6104
8,7,1,8,B,10261
8,7,2,4,A,8534
8,7,3,1,A,4689
8,7,4,7,B,7856
8,7,5,2,A,5182
8,7,6,9,B,6811
8,7,7,5,A,11815
8,7,8,10,B,4857
8,7,9,3,A,5857
8,7,10,6,B,6256
8,8,1,7,B,8973
8,8,2,1,A,5933
8,8,3,6,B,5370
8,8,4,8,B,6234
8,8,5,9,B,6194
8,8,6,2,A,10411
8,8,7,4,A,9851
8,8,8,5,A,6779
8,8,9,10,B,5660
8,8,10,3,A,11098
9,1,1,3,A,2493
9,1,2,6,B,1583
9,1,3,5,A,3860
9,1,4,9,B,2611
9,1,5,1,A,1984
9,1,6,4,A,4458
9,1,7,8,B,1861
9,1,8,10,B,4095
9,1,9,2,A,3051
9,1,10,7,B,4094
9,2,1,4,A,2110
9,2,2,8,B,4655
9,2,3,7,B,2859
9,2,4,5,A,3051
9,2,5,10,B,1375
9,2,6,1,A,2093
9,2,7,9,B,1544
9,2,8,2,A,2416
9,2,9,6,B,1575
9,2,10,3,B,4292
9,3,1,8,A,3135
9,3,2,5,A,1617
9,3,3,2,A,2819
9,3,4,6,B,1339
9,3,5,1,A,983
9,3,6,9,B,1181
9,3,7,10,B,1659
9,3,8,4,A,1014
9,3,9,3,B,2255
9,3,10,7,B,2462
9,4,1,7,B,1097
9,4,2,2,A,1616
9,4,3,3,A,5736
9,4,4,1,A,1255
9,4,5,10,B,2023
9,4,6,8,B,2821
9,4,7,4,A,1183
9,4,8,6,B,1620
9,4,9,9,B,1063
9,4,10,5,A,1295
9,5,1,9,B,5652
9,5,2,3,B,5693
9,5,3,6,B,1701
9,5,4,2,A,1739
9,5,5,4,A,823
9,5,6,7,B,2932
9,5,7,10,B,2136
9,5,8,5,A,1459
9,5,9,1,A,1532
9,5,10,8,A,1976
9,6,1,1,A,855
9,6,2,4,A,860
9,6,3,3,B,3095
9,6,4,7,B,1893
9,6,5,9,B,1784
9,6,6,10,B,1541
9,6,7,5,A,733
9,6,8,8,A,1539
9,6,9,6,B,1022
9,6,10,2,A,1492
9,7,1,10,B,4814
9,7,2,5,A,733
9,7,3,9,B,1137
9,7,4,7,B,4190
9,7,5,6,B,2134
9,7,6,1,A,818
9,7,7,4,A,1740
9,7,8,3,A,5021
9,7,9,8,A,1779
9,7,10,2,A,4024
9,8,1,10,B,1616
9,8,2,1,A,698
9,8,3,4,A,1075
9,8,4,3,A,3178
9,8,5,7,A,4132
9,8,6,2,A,1373
9,8,7,8,A,1502
9,8,8,9,B,1621
9,8,9,6,B,1236
9,8,10,5,A,973
10,1,1,6,B,18893
10,1,2,3,A,71188
10,1,3,5,A,64551
10,1,4,7,B,31890
10,1,5,4,A,41758
10,1,6,8,B,29244
10,1,7,9,B,44840
10,1,8,2,A,48192
10,1,9,10,B,27011
10,1,10,1,A,33877
10,2,1,8,B,10454
10,2,2,9,B,3435
10,2,3,3,A,3020
10,2,4,5,A,1622
10,2,5,10,B,1503
10,2,6,6,B,1583
10,2,7,2,A,2858
10,2,8,1,A,1263
10,2,9,4,B,1418
10,2,10,7,B,3300
10,3,1,9,B,9258
10,3,2,7,B,2098
10,3,3,2,A,1937
10,3,4,6,B,1182
10,3,5,4,A,4057
10,3,6,3,B,5738
10,3,7,1,A,1218
10,3,8,5,A,1101
10,3,9,8,B,1619
10,3,10,10,B,1742
10,4,1,6,B,3373
10,4,2,9,B,3100
10,4,3,1,A,1179
10,4,4,3,B,1976
10,4,5,10,B,1223
10,4,6,4,A,1706
10,4,7,2,A,1570
10,4,8,5,A,859
10,4,9,8,A,2174
10,4,10,7,B,1383
10,5,1,3,B,4661
10,5,2,2,A,1012
10,5,3,5,A,935
10,5,4,9,A,1820
10,5,5,8,A,1861
10,5,6,10,B,1174
10,5,7,6,B,864
10,5,8,1,A,1499
10,5,9,4,A,2739
10,5,10,7,B,1190
10,6,1,8,A,4377
10,6,2,9,B,865
10,6,3,1,A,820
10,6,4,5,A,743
10,6,5,3,B,4555
10,6,6,2,A,722
10,6,7,7,B,777
10,6,8,10,B,776
10,6,9,6,B,1933
10,6,10,4,A,1117
10,7,1,4,A,9328
10,7,2,2,A,1058
10,7,3,7,B,813
10,7,4,3,B,1216
10,7,5,10,B,1137
10,7,6,9,B,1062
10,7,7,1,A,1109
10,7,8,6,B,816
10,7,9,8,A,658
10,7,10,5,A,775
10,8,1,3,B,2975
10,8,2,4,A,742
10,8,3,5,A,617
10,8,4,9,B,619
10,8,5,10,B,582
