acc,accuracy,average_response_time,avg_rt,background,bidi,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_facetest_response,correct_instructions,correct_sexrating_response,count_blank100,count_exemplarsequence,count_experiment,count_exposure,count_exposuresequence,count_faceexpose,count_facetest,count_facetest_response,count_instructions,count_logger,count_notes,count_sexrating,count_sexrating_response,count_test,count_testinstructions,datetime,description,disable_garbage_collection,experiment_file,experiment_path,faceno,fname,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_exposure,logfile,mouse_backend,opensesame_codename,opensesame_version,phase,repeat_cycle,response,response_facetest_response,response_instructions,response_sexrating_response,response_testinstructions,response_time,response_time_facetest_response,response_time_instructions,response_time_sexrating_response,response_time_testinstructions,round_decimals,sampler_backend,shifttype,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,synth_backend,time_blank100,time_exemplarsequence,time_experiment,time_exposure,time_exposuresequence,time_faceexpose,time_facetest,time_facetest_response,time_instructions,time_logger,time_notes,time_sexrating,time_sexrating_response,time_test,time_testinstructions,title,total_correct,total_response_time,total_responses,transparent_variables,type,uniform_coordinates,width,xshift,yshift
undefined,undefined,524.863636364,524.863636364,white,no,legacy,legacy,legacy,0,relative,undefined,,undefined,undefined,21,,0,0,21,21,,,0,21,0,21,21,0,0,Thu 31 Oct 2019 11:43:21 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,8,08-80.png,no,mono,no,18,no,black,no,no,1080,legacy,21,21,/home/andy/svn/rmip/docs/openseslib/subject-12.csv,legacy,Kafkaesque Koffka,3.2.7,exposure,0,4,,space,4,,1740,,922,1740,,2,legacy,horizontal,1024,2,48000,-16,experiment,12,even,legacy,36707,,686,1619,36704,36810,,,696,39554,,37813,37814,,,Feature Shift Prototypes,0,11547,22,no,,no,1920,-8,0
undefined,undefined,620.173913043,620.173913043,white,no,legacy,legacy,legacy,0,relative,undefined,,undefined,undefined,22,,0,0,22,22,,,0,22,0,22,22,0,0,Thu 31 Oct 2019 11:43:21 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,6,0680.png,no,mono,no,18,no,black,no,no,1080,legacy,22,22,/home/andy/svn/rmip/docs/openseslib/subject-12.csv,legacy,Kafkaesque Koffka,3.2.7,exposure,0,6,,space,6,,2717,,922,2717,,2,legacy,horizontal,1024,2,48000,-16,experiment,12,even,legacy,39636,,686,1619,39633,39738,,,696,43458,,40741,40741,,,Feature Shift Prototypes,0,14264,23,no,,no,1920,8,0
undefined,undefined,612.291666667,612.291666667,white,no,legacy,legacy,legacy,0,relative,undefined,,undefined,undefined,23,,0,0,23,23,,,0,23,0,23,23,0,0,Thu 31 Oct 2019 11:43:21 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,8,08-80.png,no,mono,no,18,no,black,no,no,1080,legacy,23,23,/home/andy/svn/rmip/docs/openseslib/subject-12.csv,legacy,Kafkaesque Koffka,3.2.7,exposure,0,5,,space,5,,431,,922,431,,2,legacy,horizontal,1024,2,48000,-16,experiment,12,even,legacy,43553,,686,1619,43550,43655,,,696,45089,,44657,44658,,,Feature Shift Prototypes,0,14695,24,no,,no,1920,-8,0
undefined,undefined,600.2,600.2,white,no,legacy,legacy,legacy,0,relative,undefined,,undefined,undefined,24,,0,0,24,24,,,0,24,0,24,24,0,0,Thu 31 Oct 2019 11:43:21 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,3,0308.png,no,mono,no,18,no,black,no,no,1080,legacy,24,24,/home/andy/svn/rmip/docs/openseslib/subject-12.csv,legacy,Kafkaesque Koffka,3.2.7,exposure,0,7,,space,7,,310,,922,310,,2,legacy,vertical,1024,2,48000,-16,experiment,12,even,legacy,45172,,686,1619,45169,45274,,,696,46586,,46276,46276,,,Feature Shift Prototypes,0,15005,25,no,,no,1920,0,8
undefined,undefined,591.769230769,591.769230769,white,no,legacy,legacy,legacy,0,relative,undefined,,undefined,undefined,25,,0,0,25,25,,,0,25,0,25,25,0,0,Thu 31 Oct 2019 11:43:21 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,7,0708.png,no,mono,no,18,no,black,no,no,1080,legacy,25,25,/home/andy/svn/rmip/docs/openseslib/subject-12.csv,legacy,Kafkaesque Koffka,3.2.7,exposure,0,4,,space,4,,381,,922,381,,2,legacy,vertical,1024,2,48000,-16,experiment,12,even,legacy,46667,,686,1619,46664,46769,,,696,48153,,47771,47772,,,Feature Shift Prototypes,0,15386,26,no,,no,1920,0,8
undefined,undefined,588.222222222,588.222222222,white,no,legacy,legacy,legacy,0,relative,undefined,,undefined,undefined,26,,0,0,26,26,,,0,26,0,26,26,0,0,Thu 31 Oct 2019 11:43:21 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,4,0480.png,no,mono,no,18,no,black,no,no,1080,legacy,26,26,/home/andy/svn/rmip/docs/openseslib/subject-12.csv,legacy,Kafkaesque Koffka,3.2.7,exposure,0,6,,space,6,,496,,922,496,,2,legacy,horizontal,1024,2,48000,-16,experiment,12,even,legacy,48235,,686,1619,48232,48337,,,696,49837,,49339,49340,,,Feature Shift Prototypes,0,15882,27,no,,no,1920,8,0
undefined,undefined,583.928571429,583.928571429,white,no,legacy,legacy,legacy,0,relative,undefined,,undefined,undefined,27,,0,0,27,27,,,0,27,0,27,27,0,0,Thu 31 Oct 2019 11:43:21 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,2,0280.png,no,mono,no,18,no,black,no,no,1080,legacy,27,27,/home/andy/svn/rmip/docs/openseslib/subject-12.csv,legacy,Kafkaesque Koffka,3.2.7,exposure,0,4,,space,4,,468,,922,468,,2,legacy,horizontal,1024,2,48000,-16,experiment,12,even,legacy,49932,,686,1619,49929,50035,,,696,51506,,51037,51038,,,Feature Shift Prototypes,0,16350,28,no,,no,1920,8,0
undefined,undefined,577.689655172,577.689655172,white,no,legacy,legacy,legacy,0,relative,undefined,,undefined,undefined,28,,0,0,28,28,,,0,28,0,28,28,0,0,Thu 31 Oct 2019 11:43:21 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,4,04-80.png,no,mono,no,18,no,black,no,no,1080,legacy,28,28,/home/andy/svn/rmip/docs/openseslib/subject-12.csv,legacy,Kafkaesque Koffka,3.2.7,exposure,0,7,,space,7,,403,,922,403,,2,legacy,horizontal,1024,2,48000,-16,experiment,12,even,legacy,51589,,686,1619,51586,51691,,,696,53097,,52694,52694,,,Feature Shift Prototypes,0,16753,29,no,,no,1920,-8,0
undefined,undefined,571.4,571.4,white,no,legacy,legacy,legacy,0,relative,undefined,,undefined,undefined,29,,0,0,29,29,,,0,29,0,29,29,0,0,Thu 31 Oct 2019 11:43:21 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,2,0280.png,no,mono,no,18,no,black,no,no,1080,legacy,29,29,/home/andy/svn/rmip/docs/openseslib/subject-12.csv,legacy,Kafkaesque Koffka,3.2.7,exposure,0,4,,space,4,,389,,922,389,,2,legacy,horizontal,1024,2,48000,-16,experiment,12,even,legacy,53179,,686,1619,53177,53282,,,696,54674,,54285,54285,,,Feature Shift Prototypes,0,17142,30,no,,no,1920,8,0
undefined,undefined,565.387096774,565.387096774,white,no,legacy,legacy,legacy,0,relative,undefined,,undefined,undefined,30,,0,0,30,30,,,0,30,0,30,30,0,0,Thu 31 Oct 2019 11:43:21 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,1,010-8.png,no,mono,no,18,no,black,no,no,1080,legacy,30,30,/home/andy/svn/rmip/docs/openseslib/subject-12.csv,legacy,Kafkaesque Koffka,3.2.7,exposure,0,7,,space,7,,385,,922,385,,2,legacy,vertical,1024,2,48000,-16,experiment,12,even,legacy,54767,,686,1619,54764,54869,,,696,56257,,55871,55872,,,Feature Shift Prototypes,0,17527,31,no,,no,1920,0,-8
undefined,undefined,563.8125,563.8125,white,no,legacy,legacy,legacy,0,relative,undefined,,undefined,undefined,31,,0,0,31,31,,,0,31,0,31,31,0,0,Thu 31 Oct 2019 11:43:21 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,3,030-8.png,no,mono,no,18,no,black,no,no,1080,legacy,31,31,/home/andy/svn/rmip/docs/openseslib/subject-12.csv,legacy,Kafkaesque Koffka,3.2.7,exposure,0,4,,space,4,,515,,922,515,,2,legacy,vertical,1024,2,48000,-16,experiment,12,even,legacy,56339,,686,1619,56336,56441,,,696,57959,,57443,57443,,,Feature Shift Prototypes,0,18042,32,no,,no,1920,0,-8
undefined,undefined,600.575757576,600.575757576,white,no,legacy,legacy,legacy,0,relative,undefined,undefined,undefined,undefined,32,0,0,0,31,31,0,0,0,32,0,31,31,0,0,Thu 31 Oct 2019 11:43:21 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,4,0400.png,no,mono,no,18,no,black,no,no,1080,legacy,0,31,/home/andy/svn/rmip/docs/openseslib/subject-12.csv,legacy,Kafkaesque Koffka,3.2.7,test,0,4,4,space,4,space,1777,1777,922,515,3567,2,legacy,horizontal,1024,2,48000,-16,experiment,12,even,legacy,61611,61608,686,1619,56336,56441,61728,61737,696,63514,,57443,57443,61578,58011,Feature Shift Prototypes,0,19819,33,no,prototype,no,1920,0,0
undefined,undefined,603.588235294,603.588235294,white,no,legacy,legacy,legacy,0,relative,undefined,undefined,undefined,undefined,33,1,0,0,31,31,1,1,0,33,0,31,31,0,0,Thu 31 Oct 2019 11:43:21 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,3,030-12.png,no,mono,no,18,no,black,no,no,1080,legacy,1,31,/home/andy/svn/rmip/docs/openseslib/subject-12.csv,legacy,Kafkaesque Koffka,3.2.7,test,0,6,6,space,4,space,703,703,922,515,3567,2,legacy,vertical,1024,2,48000,-16,experiment,12,even,legacy,63587,63584,686,1619,56336,56441,63689,63690,696,64393,,57443,57443,61578,58011,Feature Shift Prototypes,0,20522,34,no,unseen,no,1920,0,-12
undefined,undefined,602.8,602.8,white,no,legacy,legacy,legacy,0,relative,undefined,undefined,undefined,undefined,34,2,0,0,31,31,2,2,0,34,0,31,31,0,0,Thu 31 Oct 2019 11:43:21 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,6,0600.png,no,mono,no,18,no,black,no,no,1080,legacy,2,31,/home/andy/svn/rmip/docs/openseslib/subject-12.csv,legacy,Kafkaesque Koffka,3.2.7,test,0,3,3,space,4,space,576,576,922,515,3567,2,legacy,horizontal,1024,2,48000,-16,experiment,12,even,legacy,64467,64464,686,1619,56336,56441,64569,64569,696,65145,,57443,57443,61578,58011,Feature Shift Prototypes,0,21098,35,no,prototype,no,1920,0,0
undefined,undefined,603.027777778,603.027777778,white,no,legacy,legacy,legacy,0,relative,undefined,undefined,undefined,undefined,35,3,0,0,31,31,3,3,0,35,0,31,31,0,0,Thu 31 Oct 2019 11:43:21 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,1,01012.png,no,mono,no,18,no,black,no,no,1080,legacy,3,31,/home/andy/svn/rmip/docs/openseslib/subject-12.csv,legacy,Kafkaesque Koffka,3.2.7,test,0,6,6,space,4,space,611,611,922,515,3567,2,legacy,vertical,1024,2,48000,-16,experiment,12,even,legacy,65218,65215,686,1619,56336,56441,65321,65321,696,65935,,57443,57443,61578,58011,Feature Shift Prototypes,0,21709,36,no,unseen,no,1920,0,12
