"subj"	"group"	"cb"	"age"	"gender"	"hand"	"block"	"trial"	"stimtype"	"stim1"	"stim2"	"outcome"	"resp"	"rt"	"acc"
601	2	2	21	"m"	"r"	4	132	4	3	0	2	1	0.27021	-1
601	2	2	21	"m"	"r"	4	133	12	8	7	1	3	0.28881	100
601	2	2	21	"m"	"r"	4	134	11	8	0	2	1	0.35299	-1
601	2	2	21	"m"	"r"	4	135	15	12	11	2	1	0.35995	-1
601	2	2	21	"m"	"r"	4	136	16	13	0	2	1	0.4236	-1
601	2	2	21	"m"	"r"	4	137	3	1	2	2	1	0.29453	-1
601	2	2	21	"m"	"r"	4	138	13	9	0	1	3	0.35971	100
601	2	2	21	"m"	"r"	4	139	7	5	0	1	3	0.30543	100
601	2	2	21	"m"	"r"	4	140	18	15	16	1	3	0.32865	100
601	2	2	21	"m"	"r"	4	141	1	1	0	1	1	0.43357	1
601	2	2	21	"m"	"r"	4	142	8	6	0	1	3	0.30443	100
601	2	2	21	"m"	"r"	4	143	6	3	4	1	2	0.36804	20
601	2	2	21	"m"	"r"	4	144	3	2	1	2	1	0.31213	-1
601	2	2	21	"m"	"r"	5	145	6	3	4	1	3	0.47752	100
601	2	2	21	"m"	"r"	5	146	8	6	0	1	3	0.41762	100
601	2	2	21	"m"	"r"	5	147	13	9	0	1	3	0.30336	100
601	2	2	21	"m"	"r"	5	148	5	4	0	2	1	0.28765	-1
601	2	2	21	"m"	"r"	5	149	14	10	0	1	3	0.31232	100
601	2	2	21	"m"	"r"	5	150	1	1	0	1	3	0.33566	100
601	2	2	21	"m"	"r"	5	151	12	8	7	1	3	0.27926	100
601	2	2	21	"m"	"r"	5	152	2	2	0	1	3	0.44863	100
601	2	2	21	"m"	"r"	5	153	1	1	0	1	3	0.40172	100
601	2	2	21	"m"	"r"	5	154	9	6	5	2	1	0.31315	-1
601	2	2	21	"m"	"r"	5	155	15	12	11	2	1	0.29761	-1
601	2	2	21	"m"	"r"	5	156	11	8	0	2	1	0.36036	-1
601	2	2	21	"m"	"r"	5	157	8	6	0	1	3	0.28837	100
601	2	2	21	"m"	"r"	5	158	3	2	1	2	1	0.43807	-1
601	2	2	21	"m"	"r"	5	159	16	13	0	2	1	0.41566	-1
601	2	2	21	"m"	"r"	5	160	6	4	3	1	3	0.34294	100
601	2	2	21	"m"	"r"	5	161	4	3	0	2	1	0.39273	-1
601	2	2	21	"m"	"r"	5	162	10	7	0	2	1	0.28774	-1
601	2	2	21	"m"	"r"	5	163	18	15	16	1	3	0.28789	100
601	2	2	21	"m"	"r"	5	164	16	13	0	2	1	0.30305	-1
601	2	2	21	"m"	"r"	5	165	2	2	0	1	3	0.36027	100
601	2	2	21	"m"	"r"	5	166	17	14	0	2	1	0.3453	-1
601	2	2	21	"m"	"r"	5	167	14	10	0	1	3	0.32055	100
601	2	2	21	"m"	"r"	5	168	9	6	5	2	1	0.37632	-1
601	2	2	21	"m"	"r"	5	169	17	14	0	2	1	0.42396	-1
601	2	2	21	"m"	"r"	5	170	7	5	0	1	3	0.32878	100
601	2	2	21	"m"	"r"	5	171	12	7	8	1	3	0.40713	100
601	2	2	21	"m"	"r"	5	172	5	4	0	2	1	0.28148	-1
601	2	2	21	"m"	"r"	5	173	18	16	15	1	3	0.32061	100
601	2	2	21	"m"	"r"	5	174	3	1	2	2	3	0.39996	-100
601	2	2	21	"m"	"r"	5	175	15	11	12	2	1	0.38401	-1
601	2	2	21	"m"	"r"	5	176	10	7	0	2	1	0.51442	-1
601	2	2	21	"m"	"r"	5	177	7	5	0	1	3	0.28863	100
601	2	2	21	"m"	"r"	5	178	13	9	0	1	3	0.3672	100
601	2	2	21	"m"	"r"	5	179	11	8	0	2	1	0.32697	-1
601	2	2	21	"m"	"r"	5	180	4	3	0	2	1	0.39185	-1
601	2	2	21	"m"	"r"	6	181	14	10	0	1	3	0.24806	100
601	2	2	21	"m"	"r"	6	182	4	3	0	2	1	0.43999	-1
601	2	2	21	"m"	"r"	6	183	2	2	0	1	3	0.36814	100
601	2	2	21	"m"	"r"	6	184	12	8	7	1	3	0.25725	100
601	2	2	21	"m"	"r"	6	185	2	2	0	1	3	0.31132	100
601	2	2	21	"m"	"r"	6	186	12	7	8	1	3	0.39248	100
601	2	2	21	"m"	"r"	6	187	17	14	0	2	1	0.41677	-1
601	2	2	21	"m"	"r"	6	188	15	11	12	2	1	0.38331	-1
601	2	2	21	"m"	"r"	6	189	8	6	0	1	3	0.27289	100
601	2	2	21	"m"	"r"	6	190	1	1	0	1	3	0.36763	100
601	2	2	21	"m"	"r"	6	191	15	12	11	2	1	0.43214	-1
601	2	2	21	"m"	"r"	6	192	18	16	15	1	3	0.48937	100
601	2	2	21	"m"	"r"	6	193	6	4	3	1	3	0.29556	100
601	2	2	21	"m"	"r"	6	194	1	1	0	1	3	0.28824	100
601	2	2	21	"m"	"r"	6	195	10	7	0	2	1	0.26462	-1
601	2	2	21	"m"	"r"	6	196	17	14	0	2	1	0.42632	-1
601	2	2	21	"m"	"r"	6	197	4	3	0	2	1	0.35123	-1
601	2	2	21	"m"	"r"	6	198	18	15	16	1	3	0.35331	100
601	2	2	21	"m"	"r"	6	199	9	6	5	2	3	0.48932	-100
601	2	2	21	"m"	"r"	6	200	11	8	0	2	1	0.46436	-1
601	2	2	21	"m"	"r"	6	201	14	10	0	1	3	0.39895	100
601	2	2	21	"m"	"r"	6	202	16	13	0	2	1	0.50595	-1
601	2	2	21	"m"	"r"	6	203	13	9	0	1	3	0.3279	100
601	2	2	21	"m"	"r"	6	204	3	2	1	2	1	0.31972	-1
601	2	2	21	"m"	"r"	6	205	13	9	0	1	3	0.28115	100
601	2	2	21	"m"	"r"	6	206	6	3	4	1	3	0.3918	100
601	2	2	21	"m"	"r"	6	207	11	8	0	2	1	0.36854	-1
601	2	2	21	"m"	"r"	6	208	5	4	0	2	1	0.36632	-1
601	2	2	21	"m"	"r"	6	209	8	6	0	1	3	0.56863	100
601	2	2	21	"m"	"r"	6	210	5	4	0	2	1	0.2743	-1
601	2	2	21	"m"	"r"	6	211	7	5	0	1	3	0.32085	100
601	2	2	21	"m"	"r"	6	212	10	7	0	2	1	0.44694	-1
601	2	2	21	"m"	"r"	6	213	7	5	0	1	3	0.48141	100
601	2	2	21	"m"	"r"	6	214	16	13	0	2	1	0.39113	-1
601	2	2	21	"m"	"r"	6	215	3	1	2	2	1	0.25657	-1
601	2	2	21	"m"	"r"	6	216	9	6	5	2	1	0.31934	-1
602	3	1	19	"f"	"r"	1	1	5	4	0	2	2	0.87196	-20
602	3	1	19	"f"	"r"	1	2	1	1	0	1	1	0.31413	1
602	3	1	19	"f"	"r"	1	3	9	6	5	2	2	0.28823	-20
602	3	1	19	"f"	"r"	1	4	3	2	1	2	1	1.0007	-1
602	3	1	19	"f"	"r"	1	5	8	6	0	1	2	0.32824	20
602	3	1	19	"f"	"r"	1	6	9	6	5	2	1	0.2719	-1
602	3	1	19	"f"	"r"	1	7	5	4	0	2	1	0.58314	-1
602	3	1	19	"f"	"r"	1	8	11	8	0	2	2	0.4178	-20
602	3	1	19	"f"	"r"	1	9	2	2	0	1	3	0.32715	100
602	3	1	19	"f"	"r"	1	10	3	1	2	2	2	0.30486	-20
602	3	1	19	"f"	"r"	1	11	7	5	0	1	2	0.37524	20
602	3	1	19	"f"	"r"	1	12	13	9	0	1	1	0.26337	1
602	3	1	19	"f"	"r"	1	13	16	13	0	2	1	0.28792	-1
602	3	1	19	"f"	"r"	1	14	4	3	0	2	2	0.72083	-20
602	3	1	19	"f"	"r"	1	15	10	7	0	2	1	0.35303	-1
602	3	1	19	"f"	"r"	1	16	11	8	0	2	1	0.46428	-1
602	3	1	19	"f"	"r"	1	17	18	15	16	1	2	0.26557	20
602	3	1	19	"f"	"r"	1	18	1	1	0	1	1	0.50357	1
602	3	1	19	"f"	"r"	1	19	15	11	12	2	1	0.25504	-1
602	3	1	19	"f"	"r"	1	20	7	5	0	1	1	0.35993	1
602	3	1	19	"f"	"r"	1	21	12	8	7	1	2	0.27109	20
602	3	1	19	"f"	"r"	1	22	2	2	0	1	3	0.81528	100
602	3	1	19	"f"	"r"	1	23	12	7	8	1	1	0.31958	1
602	3	1	19	"f"	"r"	1	24	16	13	0	2	2	0.31198	-20
602	3	1	19	"f"	"r"	1	25	17	14	0	2	3	0.26453	-100
602	3	1	19	"f"	"r"	1	26	4	3	0	2	3	0.32908	-100
602	3	1	19	"f"	"r"	1	27	8	6	0	1	2	0.30457	20
602	3	1	19	"f"	"r"	1	28	13	9	0	1	1	0.31954	1
602	3	1	19	"f"	"r"	1	29	10	7	0	2	1	0.30409	-1
602	3	1	19	"f"	"r"	1	30	14	10	0	1	2	0.28771	20
602	3	1	19	"f"	"r"	1	31	17	14	0	2	2	0.29501	-20
602	3	1	19	"f"	"r"	1	32	6	4	3	1	2	0.31067	20
602	3	1	19	"f"	"r"	1	33	15	12	11	2	1	0.41619	-1
602	3	1	19	"f"	"r"	1	34	18	16	15	1	1	0.25513	1
602	3	1	19	"f"	"r"	1	35	6	3	4	1	1	0.25487	1
602	3	1	19	"f"	"r"	1	36	14	10	0	1	1	0.28069	1
602	3	1	19	"f"	"r"	2	37	16	13	0	2	3	0.32076	-100
602	3	1	19	"f"	"r"	2	38	5	4	0	2	1	0.28819	-1
602	3	1	19	"f"	"r"	2	39	3	1	2	2	1	0.31218	-1
602	3	1	19	"f"	"r"	2	40	1	1	0	1	1	0.31964	1
602	3	1	19	"f"	"r"	2	41	8	6	0	1	2	0.25706	20
602	3	1	19	"f"	"r"	2	42	7	5	0	1	1	0.40026	1
602	3	1	19	"f"	"r"	2	43	10	7	0	2	1	0.54657	-1
602	3	1	19	"f"	"r"	2	44	1	1	0	1	1	0.35403	1
602	3	1	19	"f"	"r"	2	45	6	3	4	1	1	0.47266	1
602	3	1	19	"f"	"r"	2	46	13	9	0	1	1	0.27267	1
602	3	1	19	"f"	"r"	2	47	10	7	0	2	1	0.40924	-1
602	3	1	19	"f"	"r"	2	48	5	4	0	2	1	0.52998	-1
602	3	1	19	"f"	"r"	2	49	4	3	0	2	2	0.36071	-20
602	3	1	19	"f"	"r"	2	50	6	4	3	1	1	0.51148	1
602	3	1	19	"f"	"r"	2	51	7	5	0	1	1	0.40928	1
602	3	1	19	"f"	"r"	2	52	16	13	0	2	1	0.55929	-1
602	3	1	19	"f"	"r"	2	53	18	15	16	1	1	0.335	1
602	3	1	19	"f"	"r"	2	54	17	14	0	2	1	0.29709	-1
602	3	1	19	"f"	"r"	2	55	2	2	0	1	1	0.32848	1
602	3	1	19	"f"	"r"	2	56	9	6	5	2	1	0.31944	-1
602	3	1	19	"f"	"r"	2	57	15	12	11	2	1	0.30443	-1
602	3	1	19	"f"	"r"	2	58	12	7	8	1	1	0.38487	1
602	3	1	19	"f"	"r"	2	59	15	11	12	2	1	0.35203	-1
602	3	1	19	"f"	"r"	2	60	18	16	15	1	1	0.29597	1
602	3	1	19	"f"	"r"	2	61	17	14	0	2	2	0.38273	-20
602	3	1	19	"f"	"r"	2	62	4	3	0	2	1	0.53643	-1
602	3	1	19	"f"	"r"	2	63	11	8	0	2	1	0.44012	-1
602	3	1	19	"f"	"r"	2	64	9	6	5	2	2	0.39216	-20
602	3	1	19	"f"	"r"	2	65	3	2	1	2	1	0.33822	-1
602	3	1	19	"f"	"r"	2	66	14	10	0	1	1	0.40802	1
602	3	1	19	"f"	"r"	2	67	2	2	0	1	2	0.36234	20
602	3	1	19	"f"	"r"	2	68	8	6	0	1	2	0.29653	20
602	3	1	19	"f"	"r"	2	69	12	8	7	1	2	0.46266	20
602	3	1	19	"f"	"r"	2	70	11	8	0	2	2	0.3042	-20
602	3	1	19	"f"	"r"	2	71	14	10	0	1	1	0.34506	1
602	3	1	19	"f"	"r"	2	72	13	9	0	1	1	0.26443	1
602	3	1	19	"f"	"r"	3	73	4	3	0	2	3	0.27465	-100
602	3	1	19	"f"	"r"	3	74	10	7	0	2	1	0.31964	-1
602	3	1	19	"f"	"r"	3	75	3	2	1	2	2	0.34275	-20
602	3	1	19	"f"	"r"	3	76	14	10	0	1	1	0.27146	1
602	3	1	19	"f"	"r"	3	77	9	6	5	2	2	4.7218	-20
602	3	1	19	"f"	"r"	3	78	12	7	8	1	1	0.271	1
602	3	1	19	"f"	"r"	3	79	15	12	11	2	1	0.43188	-1
602	3	1	19	"f"	"r"	3	80	11	8	0	2	1	0.35349	-1
602	3	1	19	"f"	"r"	3	81	4	3	0	2	3	0.28117	-100
602	3	1	19	"f"	"r"	3	82	17	14	0	2	1	0.32882	-1
602	3	1	19	"f"	"r"	3	83	15	11	12	2	1	0.31235	-1
602	3	1	19	"f"	"r"	3	84	9	6	5	2	3	0.26493	-100
602	3	1	19	"f"	"r"	3	85	17	14	0	2	3	0.26394	-100
602	3	1	19	"f"	"r"	3	86	1	1	0	1	1	0.24032	1
602	3	1	19	"f"	"r"	3	87	10	7	0	2	1	0.38472	-1
602	3	1	19	"f"	"r"	3	88	8	6	0	1	2	0.23934	20
602	3	1	19	"f"	"r"	3	89	1	1	0	1	1	0.26517	1
602	3	1	19	"f"	"r"	3	90	12	8	7	1	1	0.31155	1
602	3	1	19	"f"	"r"	3	91	13	9	0	1	1	0.25816	1
602	3	1	19	"f"	"r"	3	92	8	6	0	1	2	0.47956	20
602	3	1	19	"f"	"r"	3	93	13	9	0	1	1	0.52802	1
602	3	1	19	"f"	"r"	3	94	16	13	0	2	1	0.38485	-1
602	3	1	19	"f"	"r"	3	95	6	4	3	1	1	0.28029	1
602	3	1	19	"f"	"r"	3	96	11	8	0	2	1	0.47096	-1
602	3	1	19	"f"	"r"	3	97	5	4	0	2	1	0.53517	-1
602	3	1	19	"f"	"r"	3	98	14	10	0	1	1	0.31956	1
602	3	1	19	"f"	"r"	3	99	2	2	0	1	2	0.2795	20
602	3	1	19	"f"	"r"	3	100	7	5	0	1	1	0.36862	1
602	3	1	19	"f"	"r"	3	101	5	4	0	2	1	0.24838	-1
602	3	1	19	"f"	"r"	3	102	16	13	0	2	2	0.19942	-20
602	3	1	19	"f"	"r"	3	103	7	5	0	1	1	0.3286	1
602	3	1	19	"f"	"r"	3	104	18	15	16	1	1	0.32735	1
602	3	1	19	"f"	"r"	3	105	2	2	0	1	2	0.3501	20
602	3	1	19	"f"	"r"	3	106	18	16	15	1	1	0.36879	1
602	3	1	19	"f"	"r"	3	107	6	3	4	1	1	0.31999	1
