"subj"	"group"	"cb"	"age"	"gender"	"hand"	"trial"	"ans"	"resp"	"acc"	"confrat"
607	3	2	22	"m"	"r"	1	2	2	1	420
607	3	2	22	"m"	"r"	2	1	1	1	360
607	3	2	22	"m"	"r"	3	2	2	1	362
607	3	2	22	"m"	"r"	4	1	1	1	360
607	3	2	22	"m"	"r"	5	2	2	1	355
607	3	2	22	"m"	"r"	6	1	1	1	357
607	3	2	22	"m"	"r"	7	1	2	0	382
607	3	2	22	"m"	"r"	8	2	1	0	374
607	3	2	22	"m"	"r"	9	2	2	1	402
607	3	2	22	"m"	"r"	10	1	1	1	355
608	2	1	18	"m"	"r"	1	1	2	0	421
608	2	1	18	"m"	"r"	2	2	1	0	241
608	2	1	18	"m"	"r"	3	1	1	1	362
608	2	1	18	"m"	"r"	4	2	2	1	60
608	2	1	18	"m"	"r"	5	2	1	0	360
608	2	1	18	"m"	"r"	6	1	1	1	422
608	2	1	18	"m"	"r"	7	1	1	1	183
608	2	1	18	"m"	"r"	8	2	2	1	302
608	2	1	18	"m"	"r"	9	2	2	1	424
608	2	1	18	"m"	"r"	10	1	1	1	301
609	3	2	19	"m"	"r"	1	2	2	1	303
609	3	2	19	"m"	"r"	2	1	1	1	599
609	3	2	19	"m"	"r"	3	2	2	1	598
609	3	2	19	"m"	"r"	4	1	1	1	596
609	3	2	19	"m"	"r"	5	1	1	1	598
609	3	2	19	"m"	"r"	6	2	2	1	593
609	3	2	19	"m"	"r"	7	1	1	1	597
609	3	2	19	"m"	"r"	8	2	2	1	597
609	3	2	19	"m"	"r"	9	2	2	1	596
609	3	2	19	"m"	"r"	10	1	1	1	596
610	2	1	20	"m"	"r"	1	1	1	1	248
610	2	1	20	"m"	"r"	2	2	2	1	291
610	2	1	20	"m"	"r"	3	1	2	0	248
610	2	1	20	"m"	"r"	4	2	1	0	281
610	2	1	20	"m"	"r"	5	1	1	1	174
610	2	1	20	"m"	"r"	6	2	2	1	222
610	2	1	20	"m"	"r"	7	2	2	1	214
610	2	1	20	"m"	"r"	8	1	2	0	217
610	2	1	20	"m"	"r"	9	1	2	0	217
610	2	1	20	"m"	"r"	10	2	2	1	217
612	2	1	18	"M"	"R"	1	1	1	1	244.3047
612	2	1	18	"M"	"R"	2	2	1	0	198.6719
612	2	1	18	"M"	"R"	3	1	2	0	393.1172
612	2	1	18	"M"	"R"	4	2	2	1	125.3672
612	2	1	18	"M"	"R"	5	1	2	0	283.7969
612	2	1	18	"M"	"R"	6	2	2	1	89.7344
612	2	1	18	"M"	"R"	7	2	1	0	252.9219
612	2	1	18	"M"	"R"	8	1	1	1	300.3516
612	2	1	18	"M"	"R"	9	1	1	1	239.1016
612	2	1	18	"M"	"R"	10	2	1	0	273.418
613	3	2	21	"M"	"R"	1	2	2	1	537.5508
613	3	2	21	"M"	"R"	2	1	1	1	540.8828
613	3	2	21	"M"	"R"	3	1	1	1	444.25
613	3	2	21	"M"	"R"	4	2	1	0	444.25
613	3	2	21	"M"	"R"	5	2	1	0	444.25
613	3	2	21	"M"	"R"	6	1	2	0	419.5859
613	3	2	21	"M"	"R"	7	1	2	0	419.5859
613	3	2	21	"M"	"R"	8	2	1	0	364.9336
613	3	2	21	"M"	"R"	9	2	2	1	470.9023
613	3	2	21	"M"	"R"	10	1	2	0	433.4062
615	2	2	25	"M"	"R"	1	1	1	1	181
615	2	2	25	"M"	"R"	2	2	2	1	236
615	2	2	25	"M"	"R"	3	1	2	0	237
615	2	2	25	"M"	"R"	4	2	2	1	232
615	2	2	25	"M"	"R"	5	2	2	1	240
615	2	2	25	"M"	"R"	6	1	2	0	239
615	2	2	25	"M"	"R"	7	1	2	0	1
615	2	2	25	"M"	"R"	8	2	2	1	2
615	2	2	25	"M"	"R"	9	2	2	1	1
615	2	2	25	"M"	"R"	10	1	1	1	113
616	3	1	22	"F"	"R"	1	2	2	1	516
616	3	1	22	"F"	"R"	2	1	1	1	272
616	3	1	22	"F"	"R"	3	1	1	1	282
616	3	1	22	"F"	"R"	4	2	1	0	197
616	3	1	22	"F"	"R"	5	1	1	1	372
616	3	1	22	"F"	"R"	6	2	2	1	224
616	3	1	22	"F"	"R"	7	1	1	1	98
616	3	1	22	"F"	"R"	8	2	1	0	161
616	3	1	22	"F"	"R"	9	2	1	0	197
616	3	1	22	"F"	"R"	10	1	1	1	279
618	3	1	21	"M"	"R"	1	1	2	0	550
618	3	1	21	"M"	"R"	2	2	1	0	250
618	3	1	21	"M"	"R"	3	2	1	0	482
618	3	1	21	"M"	"R"	4	1	2	0	1
618	3	1	21	"M"	"R"	5	2	1	0	118
618	3	1	21	"M"	"R"	6	1	2	0	185
618	3	1	21	"M"	"R"	7	1	1	1	68
618	3	1	21	"M"	"R"	8	2	1	0	519
618	3	1	21	"M"	"R"	9	1	2	0	596
618	3	1	21	"M"	"R"	10	2	1	0	597
619	2	2	24	"F"	"R"	1	2	2	1	237
619	2	2	24	"F"	"R"	2	1	2	0	183
619	2	2	24	"F"	"R"	3	2	1	0	129
619	2	2	24	"F"	"R"	4	1	1	1	207
619	2	2	24	"F"	"R"	5	1	1	1	160
619	2	2	24	"F"	"R"	6	2	1	0	130
619	2	2	24	"F"	"R"	7	1	1	1	168
619	2	2	24	"F"	"R"	8	2	1	0	168
619	2	2	24	"F"	"R"	9	2	2	1	129
619	2	2	24	"F"	"R"	10	1	1	1	133
620	2	1	20	"F"	"L"	1	2	2	1	356
620	2	1	20	"F"	"L"	2	1	1	1	419
620	2	1	20	"F"	"L"	3	2	1	0	357
620	2	1	20	"F"	"L"	4	1	1	1	285
620	2	1	20	"F"	"L"	5	1	2	0	284
620	2	1	20	"F"	"L"	6	2	1	0	299
620	2	1	20	"F"	"L"	7	2	2	1	300
620	2	1	20	"F"	"L"	8	1	2	0	240
620	2	1	20	"F"	"L"	9	1	1	1	240
620	2	1	20	"F"	"L"	10	2	2	1	254
622	2	1	63	"F"	"R"	1	1	1	1	419
622	2	1	63	"F"	"R"	2	2	1	0	263
622	2	1	63	"F"	"R"	3	2	2	1	323
622	2	1	63	"F"	"R"	4	1	1	1	265
622	2	1	63	"F"	"R"	5	2	2	1	426
622	2	1	63	"F"	"R"	6	1	1	1	293
622	2	1	63	"F"	"R"	7	1	2	0	378
622	2	1	63	"F"	"R"	8	2	2	1	324
622	2	1	63	"F"	"R"	9	1	1	1	371
622	2	1	63	"F"	"R"	10	2	1	0	380
624	2	1	20	"F"	"R"	1	2	2	1	546
624	2	1	20	"F"	"R"	2	1	1	1	569
624	2	1	20	"F"	"R"	3	1	1	1	501
624	2	1	20	"F"	"R"	4	2	2	1	530
624	2	1	20	"F"	"R"	5	1	1	1	530
624	2	1	20	"F"	"R"	6	2	2	1	539
624	2	1	20	"F"	"R"	7	1	1	1	541
624	2	1	20	"F"	"R"	8	2	2	1	543
624	2	1	20	"F"	"R"	9	2	2	1	543
624	2	1	20	"F"	"R"	10	1	1	1	543
627	3	2	43	"m"	"r"	1	2	2	1	181
627	3	2	43	"m"	"r"	2	1	2	0	181
627	3	2	43	"m"	"r"	3	1	2	0	244
627	3	2	43	"m"	"r"	4	2	2	1	184
627	3	2	43	"m"	"r"	5	2	2	1	182
627	3	2	43	"m"	"r"	6	1	1	1	237
627	3	2	43	"m"	"r"	7	2	1	0	213
627	3	2	43	"m"	"r"	8	1	1	1	234
627	3	2	43	"m"	"r"	9	2	1	0	295
627	3	2	43	"m"	"r"	10	1	1	1	308
628	2	1	22	"f"	"r"	1	2	1	0	390
628	2	1	22	"f"	"r"	2	1	1	1	352
628	2	1	22	"f"	"r"	3	2	2	1	305
628	2	1	22	"f"	"r"	4	1	2	0	482
628	2	1	22	"f"	"r"	5	2	1	0	303
628	2	1	22	"f"	"r"	6	1	1	1	400
628	2	1	22	"f"	"r"	7	1	2	0	384
628	2	1	22	"f"	"r"	8	2	1	0	311
628	2	1	22	"f"	"r"	9	2	1	0	394
628	2	1	22	"f"	"r"	10	1	2	0	294
629	3	2	26	"M"	"R"	1	2	1	0	59.4297
629	3	2	26	"M"	"R"	2	1	2	0	173.8906
629	3	2	26	"M"	"R"	3	1	1	1	297.5156
629	3	2	26	"M"	"R"	4	2	2	1	122.2383
629	3	2	26	"M"	"R"	5	2	1	0	37.4297
629	3	2	26	"M"	"R"	6	1	2	0	38.7617
629	3	2	26	"M"	"R"	7	2	1	0	44.5938
629	3	2	26	"M"	"R"	8	1	1	1	59.7539
629	3	2	26	"M"	"R"	9	2	2	1	42.5938
629	3	2	26	"M"	"R"	10	1	1	1	109.4062
630	2	1	21	"F"	"R"	1	2	2	1	65.6914
630	2	1	21	"F"	"R"	2	1	1	1	58.8086
630	2	1	21	"F"	"R"	3	2	2	1	178.7734
630	2	1	21	"F"	"R"	4	1	2	0	178.7734
630	2	1	21	"F"	"R"	5	1	2	0	184.8594
630	2	1	21	"F"	"R"	6	2	2	1	235.375
630	2	1	21	"F"	"R"	7	1	2	0	235.375
630	2	1	21	"F"	"R"	8	2	2	1	233.375
630	2	1	21	"F"	"R"	9	2	2	1	238.1094
630	2	1	21	"F"	"R"	10	1	2	0	238.1094
631	3	2	21	"f"	"right"	1	2	2	1	183
631	3	2	21	"f"	"right"	2	1	1	1	178
631	3	2	21	"f"	"right"	3	2	2	1	180
631	3	2	21	"f"	"right"	4	1	1	1	179
631	3	2	21	"f"	"right"	5	2	2	1	179
631	3	2	21	"f"	"right"	6	1	1	1	593
631	3	2	21	"f"	"right"	7	2	1	0	598
631	3	2	21	"f"	"right"	8	1	1	1	593
631	3	2	21	"f"	"right"	9	2	2	1	595
631	3	2	21	"f"	"right"	10	1	1	1	599
632	2	1	27	"m"	"r"	1	1	1	1	541
632	2	1	27	"m"	"r"	2	2	2	1	370
632	2	1	27	"m"	"r"	3	1	1	1	177
632	2	1	27	"m"	"r"	4	2	2	1	64
632	2	1	27	"m"	"r"	5	1	1	1	297
632	2	1	27	"m"	"r"	6	2	2	1	296
632	2	1	27	"m"	"r"	7	1	2	0	240
632	2	1	27	"m"	"r"	8	2	2	1	598
632	2	1	27	"m"	"r"	9	1	1	1	116
632	2	1	27	"m"	"r"	10	2	2	1	376
633	3	2	19	"F"	"R"	1	2	2	1	489.2852
633	3	2	19	"F"	"R"	2	1	1	1	542.2461
633	3	2	19	"F"	"R"	3	1	1	1	481.293
633	3	2	19	"F"	"R"	4	2	2	1	416.7266
633	3	2	19	"F"	"R"	5	2	2	1	422.2812
633	3	2	19	"F"	"R"	6	1	1	1	416.8711
633	3	2	19	"F"	"R"	7	2	2	1	513.4922
633	3	2	19	"F"	"R"	8	1	1	1	458.4453
633	3	2	19	"F"	"R"	9	2	2	1	445.9492
633	3	2	19	"F"	"R"	10	1	1	1	408.2539
634	2	1	46	"M"	"R"	1	2	1	0	357.3359
634	2	1	46	"M"	"R"	2	1	2	0	180.3945
634	2	1	46	"M"	"R"	3	1	1	1	61.9297
634	2	1	46	"M"	"R"	4	2	1	0	2.1133
634	2	1	46	"M"	"R"	5	1	1	1	1.2812
634	2	1	46	"M"	"R"	6	2	1	0	180.3906
634	2	1	46	"M"	"R"	7	1	1	1	181.5547
634	2	1	46	"M"	"R"	8	2	1	0	6.4453
634	2	1	46	"M"	"R"	9	2	1	0	178.7227
634	2	1	46	"M"	"R"	10	1	2	0	189.3867
635	2	2	23	"F"	"R"	1	2	2	1	357.4258
635	2	2	23	"F"	"R"	2	1	1	1	422.668
635	2	2	23	"F"	"R"	3	2	2	1	301.6445
635	2	2	23	"F"	"R"	4	1	2	0	358.5703
635	2	2	23	"F"	"R"	5	1	2	0	359.1602
635	2	2	23	"F"	"R"	6	2	2	1	304.3789
635	2	2	23	"F"	"R"	7	2	2	1	362.3906
635	2	2	23	"F"	"R"	8	1	2	0	363.5352
635	2	2	23	"F"	"R"	9	2	2	1	420.4961
635	2	2	23	"F"	"R"	10	1	1	1	359.8672
636	3	1	34	"F"	"R"	1	2	1	0	417
636	3	1	34	"F"	"R"	2	1	2	0	421
636	3	1	34	"F"	"R"	3	2	1	0	356
636	3	1	34	"F"	"R"	4	1	2	0	302
636	3	1	34	"F"	"R"	5	1	2	0	299
636	3	1	34	"F"	"R"	6	2	2	1	422
636	3	1	34	"F"	"R"	7	1	2	0	417
636	3	1	34	"F"	"R"	8	2	2	1	243
636	3	1	34	"F"	"R"	9	2	1	0	126
636	3	1	34	"F"	"R"	10	1	1	1	62
637	3	2	22	"F"	"R"	1	1	1	1	246
637	3	2	22	"F"	"R"	2	2	1	0	207
637	3	2	22	"F"	"R"	3	1	1	1	181
637	3	2	22	"F"	"R"	4	2	2	1	194
637	3	2	22	"F"	"R"	5	2	1	0	168
637	3	2	22	"F"	"R"	6	1	1	1	166
637	3	2	22	"F"	"R"	7	2	2	1	176
637	3	2	22	"F"	"R"	8	1	2	0	156
637	3	2	22	"F"	"R"	9	1	2	0	160
637	3	2	22	"F"	"R"	10	2	1	0	144
638	3	1	25	"m"	"r"	1	1	2	0	392
638	3	1	25	"m"	"r"	2	2	1	0	314
638	3	1	25	"m"	"r"	3	2	1	0	359
638	3	1	25	"m"	"r"	4	1	2	0	359
638	3	1	25	"m"	"r"	5	2	1	0	367
638	3	1	25	"m"	"r"	6	1	2	0	484
638	3	1	25	"m"	"r"	7	1	2	0	496
638	3	1	25	"m"	"r"	8	2	2	1	596
638	3	1	25	"m"	"r"	9	1	1	1	540
638	3	1	25	"m"	"r"	10	2	2	1	295
639	2	2	23	"m"	"r"	1	2	1	0	200
639	2	2	23	"m"	"r"	2	1	2	0	145
639	2	2	23	"m"	"r"	3	2	1	0	120
639	2	2	23	"m"	"r"	4	1	2	0	152
639	2	2	23	"m"	"r"	5	2	1	0	120
639	2	2	23	"m"	"r"	6	1	1	1	111
639	2	2	23	"m"	"r"	7	1	2	0	349
639	2	2	23	"m"	"r"	8	2	1	0	206
639	2	2	23	"m"	"r"	9	2	1	0	144
639	2	2	23	"m"	"r"	10	1	1	1	420
640	2	1	41	"M"	"R"	1	1	2	0	542.3203
640	2	1	41	"M"	"R"	2	2	1	0	541.3203
640	2	1	41	"M"	"R"	3	1	1	1	541.3203
640	2	1	41	"M"	"R"	4	2	2	1	541.3203
640	2	1	41	"M"	"R"	5	1	1	1	541.3203
640	2	1	41	"M"	"R"	6	2	1	0	421.8203
640	2	1	41	"M"	"R"	7	1	2	0	542.6992
640	2	1	41	"M"	"R"	8	2	2	1	542.6992
640	2	1	41	"M"	"R"	9	1	1	1	542.6992
640	2	1	41	"M"	"R"	10	2	2	1	542.6992
641	3	2	49	"m"	"r"	1	1	2	0	538.1406
641	3	2	49	"m"	"r"	2	2	1	0	538.5273
641	3	2	49	"m"	"r"	3	1	1	1	479.9844
641	3	2	49	"m"	"r"	4	2	1	0	481.3359
641	3	2	49	"m"	"r"	5	1	1	1	598.4531
641	3	2	49	"m"	"r"	6	2	2	1	539.7031
641	3	2	49	"m"	"r"	7	1	1	1	299.8633
641	3	2	49	"m"	"r"	8	2	1	0	359.6953
641	3	2	49	"m"	"r"	9	2	2	1	358.7812
641	3	2	49	"m"	"r"	10	1	1	1	300.5039
642	2	1	21	"f"	"l"	1	2	2	1	378.5859
642	2	1	21	"f"	"l"	2	1	1	1	179.3164
642	2	1	21	"f"	"l"	3	2	1	0	339.4375
642	2	1	21	"f"	"l"	4	1	1	1	330.1055
642	2	1	21	"f"	"l"	5	2	1	0	215.6406
642	2	1	21	"f"	"l"	6	1	1	1	322.7734
642	2	1	21	"f"	"l"	7	2	1	0	389.7539
642	2	1	21	"f"	"l"	8	1	2	0	333.4375
642	2	1	21	"f"	"l"	9	1	2	0	302.4414
642	2	1	21	"f"	"l"	10	2	2	1	362.4258
643	3	2	21	"f"	"r"	1	2	2	1	419
643	3	2	21	"f"	"r"	2	1	1	1	542
643	3	2	21	"f"	"r"	3	1	1	1	363
643	3	2	21	"f"	"r"	4	2	2	1	477
643	3	2	21	"f"	"r"	5	1	1	1	119
643	3	2	21	"f"	"r"	6	2	2	1	333
643	3	2	21	"f"	"r"	7	1	2	0	140
643	3	2	21	"f"	"r"	8	2	2	1	406
643	3	2	21	"f"	"r"	9	2	2	1	247
643	3	2	21	"f"	"r"	10	1	1	1	421
644	2	1	19	"F"	"R"	1	1	2	0	179
644	2	1	19	"F"	"R"	2	2	1	0	181
644	2	1	19	"F"	"R"	3	2	1	0	60
644	2	1	19	"F"	"R"	4	1	2	0	61
644	2	1	19	"F"	"R"	5	2	2	1	113
644	2	1	19	"F"	"R"	6	1	1	1	1
644	2	1	19	"F"	"R"	7	2	2	1	1
644	2	1	19	"F"	"R"	8	1	1	1	26
644	2	1	19	"F"	"R"	9	1	2	0	2
644	2	1	19	"F"	"R"	10	2	1	0	2
645	3	2	20	"F"	"R"	1	2	2	1	357.7383
645	3	2	20	"F"	"R"	2	1	2	0	233.7852
645	3	2	20	"F"	"R"	3	2	1	0	189.4609
645	3	2	20	"F"	"R"	4	1	2	0	127.4766
645	3	2	20	"F"	"R"	5	1	1	1	57.9961
645	3	2	20	"F"	"R"	6	2	1	0	59.9961
645	3	2	20	"F"	"R"	7	2	2	1	56.1641
645	3	2	20	"F"	"R"	8	1	2	0	58.5039
645	3	2	20	"F"	"R"	9	1	1	1	57.6719
645	3	2	20	"F"	"R"	10	2	2	1	121.1523
6002	3	1	19	"f"	"R"	1	2	1	0	246.2578
6002	3	1	19	"f"	"R"	2	1	2	0	300.1836
6002	3	1	19	"f"	"R"	3	2	1	0	302.3867
6002	3	1	19	"f"	"R"	4	1	2	0	302.3867
6002	3	1	19	"f"	"R"	5	1	1	1	313.1484
6002	3	1	19	"f"	"R"	6	2	1	0	313.1484
6002	3	1	19	"f"	"R"	7	2	2	1	290.0391
6002	3	1	19	"f"	"R"	8	1	1	1	298.6523
6002	3	1	19	"f"	"R"	9	1	2	0	298.6523
6002	3	1	19	"f"	"R"	10	2	1	0	298.6523
6003	3	2	18	"m"	"r"	1	2	1	0	239.2305
6003	3	2	18	"m"	"r"	2	1	2	0	174.9219
6003	3	2	18	"m"	"r"	3	1	1	1	257.6367
6003	3	2	18	"m"	"r"	4	2	2	1	269.4297
6003	3	2	18	"m"	"r"	5	2	2	1	285.3984
6003	3	2	18	"m"	"r"	6	1	2	0	192.9727
6003	3	2	18	"m"	"r"	7	2	2	1	242.1406
6003	3	2	18	"m"	"r"	8	1	1	1	378.4297
6003	3	2	18	"m"	"r"	9	2	2	1	375.3438
6003	3	2	18	"m"	"r"	10	1	2	0	273.3633
6005	3	2	25	"f"	"r"	1	2	2	1	301
6005	3	2	25	"f"	"r"	2	1	2	0	597
6005	3	2	25	"f"	"r"	3	1	2	0	300
6005	3	2	25	"f"	"r"	4	2	1	0	419
6005	3	2	25	"f"	"r"	5	1	2	0	423
6005	3	2	25	"f"	"r"	6	2	2	1	598
6005	3	2	25	"f"	"r"	7	2	1	0	179
6005	3	2	25	"f"	"r"	8	1	2	0	479
6005	3	2	25	"f"	"r"	9	1	2	0	482
6005	3	2	25	"f"	"r"	10	2	2	1	360
6006	2	1	19	"f"	"r"	1	2	2	1	120
6006	2	1	19	"f"	"r"	2	1	1	1	123
6006	2	1	19	"f"	"r"	3	2	2	1	116
6006	2	1	19	"f"	"r"	4	1	2	0	178
6006	2	1	19	"f"	"r"	5	1	2	0	120
6006	2	1	19	"f"	"r"	6	2	1	0	121
6006	2	1	19	"f"	"r"	7	2	2	1	120
6006	2	1	19	"f"	"r"	8	1	2	0	68
6006	2	1	19	"f"	"r"	9	1	1	1	118
6006	2	1	19	"f"	"r"	10	2	1	0	295
6007	3	2	22	"m"	"r"	1	1	1	1	479.2148
6007	3	2	22	"m"	"r"	2	2	2	1	481.2422
6007	3	2	22	"m"	"r"	3	2	2	1	480.5078
6007	3	2	22	"m"	"r"	4	1	1	1	480.918
6007	3	2	22	"m"	"r"	5	1	1	1	479.5938
6007	3	2	22	"m"	"r"	6	2	2	1	479.3867
6007	3	2	22	"m"	"r"	7	2	2	1	480.7109
6007	3	2	22	"m"	"r"	8	1	1	1	480.9766
6007	3	2	22	"m"	"r"	9	1	1	1	479.5664
6007	3	2	22	"m"	"r"	10	2	2	1	485.3867
6008	2	1	18	"f"	"r"	1	1	1	1	551.9414
6008	2	1	18	"f"	"r"	2	2	2	1	479.2969
6008	2	1	18	"f"	"r"	3	1	1	1	188.7266
6008	2	1	18	"f"	"r"	4	2	2	1	408.9883
6008	2	1	18	"f"	"r"	5	1	1	1	418.9844
6008	2	1	18	"f"	"r"	6	2	2	1	453.8086
6008	2	1	18	"f"	"r"	7	1	1	1	423.1523
6008	2	1	18	"f"	"r"	8	2	1	0	152.9023
6008	2	1	18	"f"	"r"	9	2	2	1	289.6914
6008	2	1	18	"f"	"r"	10	1	1	1	405.3203
6009	3	2	18	"f"	"r"	1	2	2	1	417.4219
6009	3	2	18	"f"	"r"	2	1	1	1	548.4453
6009	3	2	18	"f"	"r"	3	2	2	1	496.5195
6009	3	2	18	"f"	"r"	4	1	1	1	472.9961
6009	3	2	18	"f"	"r"	5	1	1	1	441.9766
6009	3	2	18	"f"	"r"	6	2	1	0	522.1289
6009	3	2	18	"f"	"r"	7	1	1	1	461.6719
6009	3	2	18	"f"	"r"	8	2	1	0	410.0117
6009	3	2	18	"f"	"r"	9	1	1	1	527.9766
6009	3	2	18	"f"	"r"	10	2	2	1	473.6055
