"","cond","subj","phase","block","trial","stim","resp","rt"
"216","noload",12,"exp",8,6,1,"A",1678
"217","noload",12,"exp",8,7,2,"A",3262
"218","noload",12,"exp",8,8,4,"A",1687
"219","noload",12,"exp",8,9,9,"B",6424
"220","noload",12,"exp",8,10,5,"A",4722
"221","noload",12,"exp",9,1,7,"B",6671
"222","noload",12,"exp",9,2,8,"B",4513
"223","noload",12,"exp",9,3,10,"B",2381
"224","noload",12,"exp",9,4,4,"A",3765
"225","noload",12,"exp",9,5,5,"A",1964
"226","noload",12,"exp",9,6,9,"B",4195
"227","noload",12,"exp",9,7,2,"A",5179
"228","noload",12,"exp",9,8,3,"A",5521
"229","noload",12,"exp",9,9,1,"A",1403
"230","noload",12,"exp",9,10,6,"B",2597
"231","noload",12,"exp",10,1,5,"A",1381
"232","noload",12,"exp",10,2,8,"B",4768
"233","noload",12,"exp",10,3,3,"A",2469
"234","noload",12,"exp",10,4,10,"B",2010
"235","noload",12,"exp",10,5,7,"B",2606
"236","noload",12,"exp",10,6,4,"A",3870
"237","noload",12,"exp",10,7,6,"B",3186
"238","noload",12,"exp",10,8,9,"B",3150
"239","noload",12,"exp",10,9,1,"A",2298
"240","noload",12,"exp",10,10,2,"A",4853
"241","noload",12,"exp",11,1,2,"A",5843
"242","noload",12,"exp",11,2,3,"A",3458
"243","noload",12,"exp",11,3,6,"B",2132
"244","noload",12,"exp",11,4,8,"B",3269
"245","noload",12,"exp",11,5,4,"A",4830
"246","noload",12,"exp",11,6,5,"A",1824
"247","noload",12,"exp",11,7,7,"B",3515
"248","noload",12,"exp",11,8,9,"B",4939
"249","noload",12,"exp",11,9,10,"B",1482
"250","noload",12,"exp",11,10,1,"A",1296
"251","noload",12,"exp",12,1,3,"A",3936
"252","noload",12,"exp",12,2,1,"A",1362
"253","noload",12,"exp",12,3,5,"A",1725
"254","noload",12,"exp",12,4,6,"B",1772
"255","noload",12,"exp",12,5,4,"A",1176
"256","noload",12,"exp",12,6,8,"B",1210
"257","noload",12,"exp",12,7,10,"B",1307
"258","noload",12,"exp",12,8,2,"B",2136
"259","noload",12,"exp",12,9,7,"B",5737
"260","noload",12,"exp",12,10,9,"B",3739
"261","noload",14,"prac",0,1,0,"A",1779
"262","noload",14,"prac",0,2,0,"A",3392
"263","noload",14,"prac",0,3,0,"B",645
"264","noload",14,"prac",0,4,0,"B",505
"265","noload",14,"prac",0,5,0,"B",547
"266","noload",14,"prac",0,6,0,"B",443
"267","noload",14,"prac",0,7,0,"A",711
"268","noload",14,"prac",0,8,0,"B",585
"269","noload",14,"prac",0,9,0,"A",432
"270","noload",14,"prac",0,10,0,"A",475
"271","noload",14,"exp",1,1,5,"A",1389
"272","noload",14,"exp",1,2,2,"A",1015
"273","noload",14,"exp",1,3,1,"A",607
"274","noload",14,"exp",1,4,7,"A",485
"275","noload",14,"exp",1,5,9,"A",798
"276","noload",14,"exp",1,6,4,"B",717
"277","noload",14,"exp",1,7,3,"A",687
"278","noload",14,"exp",1,8,8,"B",834
"279","noload",14,"exp",1,9,6,"B",688
"280","noload",14,"exp",1,10,10,"B",611
"281","noload",14,"exp",2,1,8,"B",866
"282","noload",14,"exp",2,2,4,"B",751
"283","noload",14,"exp",2,3,10,"B",511
"284","noload",14,"exp",2,4,9,"A",601
"285","noload",14,"exp",2,5,5,"A",703
"286","noload",14,"exp",2,6,2,"A",513
"287","noload",14,"exp",2,7,6,"B",506
"288","noload",14,"exp",2,8,7,"B",692
"289","noload",14,"exp",2,9,3,"A",823
"290","noload",14,"exp",2,10,1,"A",837
"291","noload",14,"exp",3,1,1,"A",665
"292","noload",14,"exp",3,2,8,"B",621
"293","noload",14,"exp",3,3,4,"B",690
"294","noload",14,"exp",3,4,7,"B",677
"295","noload",14,"exp",3,5,3,"A",585
"296","noload",14,"exp",3,6,10,"B",542
"297","noload",14,"exp",3,7,2,"A",678
"298","noload",14,"exp",3,8,5,"A",954
"299","noload",14,"exp",3,9,9,"A",484
"300","noload",14,"exp",3,10,6,"B",493
"301","noload",14,"exp",4,1,5,"A",685
"302","noload",14,"exp",4,2,4,"B",576
"303","noload",14,"exp",4,3,3,"A",727
"304","noload",14,"exp",4,4,9,"A",617
"305","noload",14,"exp",4,5,8,"B",606
"306","noload",14,"exp",4,6,1,"A",564
"307","noload",14,"exp",4,7,10,"B",635
"308","noload",14,"exp",4,8,2,"A",496
"309","noload",14,"exp",4,9,7,"B",618
"310","noload",14,"exp",4,10,6,"B",527
"311","noload",14,"exp",5,1,3,"A",711
"312","noload",14,"exp",5,2,8,"B",537
"313","noload",14,"exp",5,3,5,"A",946
"314","noload",14,"exp",5,4,2,"B",764
"315","noload",14,"exp",5,5,7,"A",812
"316","noload",14,"exp",5,6,4,"A",8459
"317","noload",14,"exp",5,7,1,"A",1983
"318","noload",14,"exp",5,8,10,"B",1460
"319","noload",14,"exp",5,9,6,"B",1420
"320","noload",14,"exp",5,10,9,"B",5142
"321","noload",14,"exp",6,1,7,"B",2867
"322","noload",14,"exp",6,2,3,"A",3530
"323","noload",14,"exp",6,3,10,"B",2346
"324","noload",14,"exp",6,4,9,"B",3139
"325","noload",14,"exp",6,5,2,"A",4112
"326","noload",14,"exp",6,6,5,"A",1995
"327","noload",14,"exp",6,7,1,"A",2017
"328","noload",14,"exp",6,8,8,"B",2725
"329","noload",14,"exp",6,9,4,"A",2273
"330","noload",14,"exp",6,10,6,"B",2173
"331","noload",14,"exp",7,1,5,"A",2537
"332","noload",14,"exp",7,2,9,"B",2843
"333","noload",14,"exp",7,3,6,"B",2035
"334","noload",14,"exp",7,4,10,"B",1655
"335","noload",14,"exp",7,5,4,"A",2393
"336","noload",14,"exp",7,6,3,"A",2656
"337","noload",14,"exp",7,7,7,"B",3902
"338","noload",14,"exp",7,8,1,"A",2369
"339","noload",14,"exp",7,9,8,"B",3497
"340","noload",14,"exp",7,10,2,"A",4330
"341","noload",14,"exp",8,1,2,"A",2155
"342","noload",14,"exp",8,2,4,"A",1995
"343","noload",14,"exp",8,3,8,"B",4560
"344","noload",14,"exp",8,4,7,"B",2267
"345","noload",14,"exp",8,5,5,"A",11031
"346","noload",14,"exp",8,6,1,"A",3105
"347","noload",14,"exp",8,7,6,"B",5440
"348","noload",14,"exp",8,8,3,"A",4220
"349","noload",14,"exp",8,9,9,"B",4580
"350","noload",14,"exp",8,10,10,"B",7823
"351","noload",14,"exp",9,1,7,"B",6536
"352","noload",14,"exp",9,2,9,"B",6222
"353","noload",14,"exp",9,3,3,"A",2608
"354","noload",14,"exp",9,4,5,"A",6288
"355","noload",14,"exp",9,5,10,"B",6111
"356","noload",14,"exp",9,6,1,"A",1909
"357","noload",14,"exp",9,7,6,"B",2413
"358","noload",14,"exp",9,8,2,"A",3348
"359","noload",14,"exp",9,9,8,"B",4314
"360","noload",14,"exp",9,10,4,"A",3118
"361","noload",14,"exp",10,1,7,"B",3666
"362","noload",14,"exp",10,2,8,"B",4748
"363","noload",14,"exp",10,3,6,"B",3506
"364","noload",14,"exp",10,4,5,"A",4785
"365","noload",14,"exp",10,5,4,"A",3509
"366","noload",14,"exp",10,6,10,"B",2582
"367","noload",14,"exp",10,7,9,"B",2823
"368","noload",14,"exp",10,8,3,"A",5055
"369","noload",14,"exp",10,9,1,"A",3994
"370","noload",14,"exp",10,10,2,"A",6314
"371","noload",14,"exp",11,1,9,"B",3791
"372","noload",14,"exp",11,2,7,"B",5654
"373","noload",14,"exp",11,3,10,"B",1947
"374","noload",14,"exp",11,4,5,"A",4370
"375","noload",14,"exp",11,5,6,"B",2725
"376","noload",14,"exp",11,6,4,"A",3551
"377","noload",14,"exp",11,7,3,"A",9102
"378","noload",14,"exp",11,8,2,"A",3899
"379","noload",14,"exp",11,9,8,"A",3038
"380","noload",14,"exp",11,10,1,"A",5311
"381","noload",14,"exp",12,1,2,"A",6862
"382","noload",14,"exp",12,2,1,"A",3178
"383","noload",14,"exp",12,3,10,"B",3430
"384","noload",14,"exp",12,4,4,"A",4025
"385","noload",14,"exp",12,5,6,"B",3224
"386","noload",14,"exp",12,6,3,"A",6882
"387","noload",14,"exp",12,7,8,"B",4141
"388","noload",14,"exp",12,8,9,"B",3222
"389","noload",14,"exp",12,9,7,"B",5297
"390","noload",14,"exp",12,10,5,"A",2019
"391","noload",16,"prac",0,1,0,"A",9586
"392","noload",16,"prac",0,2,0,"A",11774
"393","noload",16,"prac",0,3,0,"B",3229
"394","noload",16,"prac",0,4,0,"B",3352
"395","noload",16,"prac",0,5,0,"B",3982
"396","noload",16,"prac",0,6,0,"A",1662
"397","noload",16,"prac",0,7,0,"B",19965
"398","noload",16,"prac",0,8,0,"A",7327
"399","noload",16,"prac",0,9,0,"A",2747
"400","noload",16,"prac",0,10,0,"A",8326
"401","noload",16,"exp",1,1,3,"A",6055
"402","noload",16,"exp",1,2,8,"B",3373
"403","noload",16,"exp",1,3,4,"B",2898
"404","noload",16,"exp",1,4,2,"A",2039
"405","noload",16,"exp",1,5,9,"A",1850
"406","noload",16,"exp",1,6,10,"B",4132
"407","noload",16,"exp",1,7,6,"B",2734
"408","noload",16,"exp",1,8,5,"A",2184
"409","noload",16,"exp",1,9,1,"A",3062
"410","noload",16,"exp",1,10,7,"B",5269
"411","noload",16,"exp",2,1,2,"B",7216
"412","noload",16,"exp",2,2,8,"B",3183
"413","noload",16,"exp",2,3,9,"B",4123
"414","noload",16,"exp",2,4,5,"A",1558
"415","noload",16,"exp",2,5,1,"A",1675
"416","noload",16,"exp",2,6,6,"B",2220
"417","noload",16,"exp",2,7,4,"B",6119
"418","noload",16,"exp",2,8,7,"B",1182
"419","noload",16,"exp",2,9,10,"B",719
"420","noload",16,"exp",2,10,3,"A",1169
"421","noload",16,"exp",3,1,3,"A",2404
"422","noload",16,"exp",3,2,2,"A",1355
"423","noload",16,"exp",3,3,7,"B",1223
"424","noload",16,"exp",3,4,4,"B",791
"425","noload",16,"exp",3,5,5,"A",935
"426","noload",16,"exp",3,6,8,"B",737
"427","noload",16,"exp",3,7,9,"A",1010
"428","noload",16,"exp",3,8,1,"A",698
"429","noload",16,"exp",3,9,10,"B",669
"430","noload",16,"exp",3,10,6,"B",881
"431","noload",16,"exp",4,1,3,"A",1693
"432","noload",16,"exp",4,2,7,"B",1499
"433","noload",16,"exp",4,3,9,"A",1682
"434","noload",16,"exp",4,4,1,"A",1650
"435","noload",16,"exp",4,5,8,"B",1380
"436","noload",16,"exp",4,6,4,"B",959
"437","noload",16,"exp",4,7,6,"B",968
"438","noload",16,"exp",4,8,5,"A",1010
"439","noload",16,"exp",4,9,2,"A",986
"440","noload",16,"exp",4,10,10,"B",850
"441","noload",16,"exp",5,1,1,"A",2224
"442","noload",16,"exp",5,2,4,"B",989
"443","noload",16,"exp",5,3,8,"B",1317
"444","noload",16,"exp",5,4,6,"B",1074
"445","noload",16,"exp",5,5,5,"A",1543
"446","noload",16,"exp",5,6,3,"B",860
"447","noload",16,"exp",5,7,10,"B",1465
"448","noload",16,"exp",5,8,2,"A",1073
"449","noload",16,"exp",5,9,7,"B",1767
"450","noload",16,"exp",5,10,9,"A",1892
"451","noload",16,"exp",6,1,3,"A",1102
"452","noload",16,"exp",6,2,2,"A",963
"453","noload",16,"exp",6,3,10,"B",1180
"454","noload",16,"exp",6,4,6,"B",1342
"455","noload",16,"exp",6,5,4,"B",1082
"456","noload",16,"exp",6,6,5,"A",1007
"457","noload",16,"exp",6,7,9,"B",1015
"458","noload",16,"exp",6,8,7,"B",2239
"459","noload",16,"exp",6,9,1,"A",795
"460","noload",16,"exp",6,10,8,"B",906
"461","noload",16,"exp",7,1,9,"A",1970
"462","noload",16,"exp",7,2,4,"B",1000
"463","noload",16,"exp",7,3,3,"A",560
"464","noload",16,"exp",7,4,5,"A",1720
"465","noload",16,"exp",7,5,6,"B",1191
"466","noload",16,"exp",7,6,8,"B",1289
"467","noload",16,"exp",7,7,7,"B",822
"468","noload",16,"exp",7,8,2,"A",1573
"469","noload",16,"exp",7,9,10,"B",1450
"470","noload",16,"exp",7,10,1,"A",706
"471","noload",16,"exp",8,1,4,"B",1908
"472","noload",16,"exp",8,2,5,"A",988
"473","noload",16,"exp",8,3,8,"B",981
"474","noload",16,"exp",8,4,2,"A",990
"475","noload",16,"exp",8,5,3,"A",868
"476","noload",16,"exp",8,6,9,"A",818
"477","noload",16,"exp",8,7,6,"B",864
"478","noload",16,"exp",8,8,7,"B",1149
"479","noload",16,"exp",8,9,1,"A",1104
"480","noload",16,"exp",8,10,10,"B",852
"481","noload",16,"exp",9,1,4,"B",1407
"482","noload",16,"exp",9,2,3,"A",714
"483","noload",16,"exp",9,3,1,"A",939
"484","noload",16,"exp",9,4,5,"A",710
"485","noload",16,"exp",9,5,2,"A",1080
"486","noload",16,"exp",9,6,6,"B",1181
"487","noload",16,"exp",9,7,10,"B",959
"488","noload",16,"exp",9,8,9,"A",1433
"489","noload",16,"exp",9,9,7,"B",1106
"490","noload",16,"exp",9,10,8,"B",966
"491","noload",16,"exp",10,1,1,"A",974
"492","noload",16,"exp",10,2,8,"B",727
"493","noload",16,"exp",10,3,6,"B",1017
"494","noload",16,"exp",10,4,4,"B",768
"495","noload",16,"exp",10,5,3,"A",817
"496","noload",16,"exp",10,6,9,"A",3199
"497","noload",16,"exp",10,7,5,"A",619
"498","noload",16,"exp",10,8,2,"A",992
"499","noload",16,"exp",10,9,7,"B",937
"500","noload",16,"exp",10,10,10,"B",531
"501","noload",16,"exp",11,1,6,"B",2411
"502","noload",16,"exp",11,2,10,"B",834
"503","noload",16,"exp",11,3,4,"B",959
"504","noload",16,"exp",11,4,2,"B",2344
"505","noload",16,"exp",11,5,5,"A",994
"506","noload",16,"exp",11,6,8,"B",4074
"507","noload",16,"exp",11,7,1,"A",3575
"508","noload",16,"exp",11,8,3,"A",981
"509","noload",16,"exp",11,9,7,"B",1246
"510","noload",16,"exp",11,10,9,"A",685
"511","noload",16,"exp",12,1,10,"B",1377
"512","noload",16,"exp",12,2,2,"A",699
"513","noload",16,"exp",12,3,4,"B",622
"514","noload",16,"exp",12,4,5,"A",435
"515","noload",16,"exp",12,5,6,"B",735
"516","noload",16,"exp",12,6,9,"A",752
"517","noload",16,"exp",12,7,3,"A",1425
"518","noload",16,"exp",12,8,7,"B",763
"519","noload",16,"exp",12,9,8,"B",651
"520","noload",16,"exp",12,10,1,"B",591
"521","noload",18,"prac",0,1,0,"A",4456
"522","noload",18,"prac",0,2,0,"B",1480
"523","noload",18,"prac",0,3,0,"B",799
"524","noload",18,"prac",0,4,0,"A",846
"525","noload",18,"prac",0,5,0,"A",571
"526","noload",18,"prac",0,6,0,"B",434
"527","noload",18,"prac",0,7,0,"B",542
"528","noload",18,"prac",0,8,0,"A",870
"529","noload",18,"prac",0,9,0,"B",531
"530","noload",18,"prac",0,10,0,"A",475
"531","noload",18,"exp",1,1,3,"A",5895
