"DAU","Participant","Condition","Block","SubBlock","Trial","StimulusNo","Length","Orientation","Category","Difficulty","Response","Correct","RT"
"PLY12",1001,"EasyMed",1,1,25,2,56.474,189.87,0,"Easy",68,1,0.60079
"PLY12",1001,"EasyMed",1,1,26,29,252.16,120.1,1,"Easy",76,1,0.70562
"PLY12",1001,"EasyMed",1,1,27,5,150.89,285,0,"Easy",68,1,0.46016
"PLY12",1001,"EasyMed",1,1,28,3,87.947,221.56,0,"Easy",76,0,0.53066
"PLY12",1001,"EasyMed",1,1,29,28,220.68,88.411,1,"Easy",76,1,0.50511
"PLY12",1001,"EasyMed",1,1,30,2,56.474,189.87,0,"Easy",68,1,0.43039
"PLY12",1001,"EasyMed",1,1,31,3,87.947,221.56,0,"Easy",76,0,0.48545
"PLY12",1001,"EasyMed",1,1,32,3,87.947,221.56,0,"Easy",68,1,0.80563
"PLY12",1001,"EasyMed",1,1,33,2,56.474,189.87,0,"Easy",68,1,0.47549
"PLY12",1001,"EasyMed",1,1,34,27,189.21,56.691,1,"Easy",76,1,0.41063
"PLY12",1001,"EasyMed",1,1,35,1,25,158.15,0,"Easy",68,1,0.61554
"PLY12",1001,"EasyMed",1,1,36,27,189.21,56.691,1,"Easy",76,1,0.86067
"PLY12",1001,"EasyMed",1,1,37,3,87.947,221.56,0,"Easy",68,1,0.71084
"PLY12",1001,"EasyMed",1,1,38,29,252.16,120.1,1,"Easy",76,1,0.6707
"PLY12",1001,"EasyMed",1,1,39,30,285,151.82,1,"Easy",76,1,0.42556
"PLY12",1001,"EasyMed",1,1,40,30,285,151.82,1,"Easy",76,1,0.34536
"PLY12",1001,"EasyMed",1,1,41,4,119.42,253.28,0,"Easy",68,1,0.48011
"PLY12",1001,"EasyMed",1,1,42,27,189.21,56.691,1,"Easy",76,1,0.41535
"PLY12",1001,"EasyMed",1,1,43,30,285,151.82,1,"Easy",76,1,0.42023
"PLY12",1001,"EasyMed",1,1,44,26,157.74,25,1,"Easy",76,1,0.39503
"PLY12",1001,"EasyMed",1,1,45,4,119.42,253.28,0,"Easy",76,0,0.43058
"PLY12",1001,"EasyMed",1,1,46,4,119.42,253.28,0,"Easy",68,1,0.52068
"PLY12",1001,"EasyMed",1,1,47,4,119.42,253.28,0,"Easy",68,1,0.42084
"PLY12",1001,"EasyMed",1,1,48,1,25,158.15,0,"Easy",76,0,0.45497
"PLY12",1001,"EasyMed",1,1,49,5,150.89,285,0,"Easy",68,1,0.45549
"PLY12",1001,"EasyMed",1,1,50,1,25,158.15,0,"Easy",68,1,0.76497
"PLY12",1001,"EasyMed",1,2,51,1,25,158.15,0,"Easy",68,1,0.54086
"PLY12",1001,"EasyMed",1,2,52,29,252.16,120.1,1,"Easy",76,1,0.55497
"PLY12",1001,"EasyMed",1,2,53,28,220.68,88.411,1,"Easy",76,1,0.56504
"PLY12",1001,"EasyMed",1,2,54,5,150.89,285,0,"Easy",68,1,0.49567
"PLY12",1001,"EasyMed",1,2,55,29,252.16,120.1,1,"Easy",76,1,0.51522
"PLY12",1001,"EasyMed",1,2,56,2,56.474,189.87,0,"Easy",68,1,0.48026
"PLY12",1001,"EasyMed",1,2,57,4,119.42,253.28,0,"Easy",68,1,0.64556
"PLY12",1001,"EasyMed",1,2,58,3,87.947,221.56,0,"Easy",76,0,0.62206
"PLY12",1001,"EasyMed",1,2,59,30,285,151.82,1,"Easy",76,1,0.59085
"PLY12",1001,"EasyMed",1,2,60,30,285,151.82,1,"Easy",76,1,0.62008
"PLY12",1001,"EasyMed",1,2,61,4,119.42,253.28,0,"Easy",68,1,0.77519
"PLY12",1001,"EasyMed",1,2,62,29,252.16,120.1,1,"Easy",76,1,0.4903
"PLY12",1001,"EasyMed",1,2,63,27,189.21,56.691,1,"Easy",76,1,0.48056
"PLY12",1001,"EasyMed",1,2,64,4,119.42,253.28,0,"Easy",68,1,0.53568
"PLY12",1001,"EasyMed",1,2,65,27,189.21,56.691,1,"Easy",76,1,0.49013
"PLY12",1001,"EasyMed",1,2,66,26,157.74,25,1,"Easy",76,1,0.44081
"PLY12",1001,"EasyMed",1,2,67,5,150.89,285,0,"Easy",68,1,0.40523
"PLY12",1001,"EasyMed",1,2,68,2,56.474,189.87,0,"Easy",76,0,0.5147
"PLY12",1001,"EasyMed",1,2,69,2,56.474,189.87,0,"Easy",68,1,0.60583
"PLY12",1001,"EasyMed",1,2,70,3,87.947,221.56,0,"Easy",68,1,0.59535
"PLY12",1001,"EasyMed",1,2,71,26,157.74,25,1,"Easy",76,1,0.59015
"PLY12",1001,"EasyMed",1,2,72,3,87.947,221.56,0,"Easy",76,0,0.88076
"PLY12",1001,"EasyMed",1,2,73,3,87.947,221.56,0,"Easy",76,0,0.61009
"PLY12",1001,"EasyMed",1,2,74,4,119.42,253.28,0,"Easy",68,1,0.47511
"PLY12",1001,"EasyMed",1,2,75,1,25,158.15,0,"Easy",68,1,0.5702
"PLY12",1001,"EasyMed",1,2,76,3,87.947,221.56,0,"Easy",68,1,0.52036
"PLY12",1001,"EasyMed",1,2,77,26,157.74,25,1,"Easy",76,1,0.70555
"PLY12",1001,"EasyMed",1,2,78,2,56.474,189.87,0,"Easy",68,1,0.66532
"PLY12",1001,"EasyMed",1,2,79,28,220.68,88.411,1,"Easy",76,1,0.59554
"PLY12",1001,"EasyMed",1,2,80,2,56.474,189.87,0,"Easy",68,1,0.43526
"PLY12",1001,"EasyMed",1,2,81,28,220.68,88.411,1,"Easy",76,1,0.51558
"PLY12",1001,"EasyMed",1,2,82,29,252.16,120.1,1,"Easy",76,1,0.52542
"PLY12",1001,"EasyMed",1,2,83,30,285,151.82,1,"Easy",76,1,0.51035
"PLY12",1001,"EasyMed",1,2,84,26,157.74,25,1,"Easy",76,1,0.68009
"PLY12",1001,"EasyMed",1,2,85,1,25,158.15,0,"Easy",68,1,0.6055
"PLY12",1001,"EasyMed",1,2,86,29,252.16,120.1,1,"Easy",76,1,0.42039
"PLY12",1001,"EasyMed",1,2,87,27,189.21,56.691,1,"Easy",76,1,0.45558
"PLY12",1001,"EasyMed",1,2,88,26,157.74,25,1,"Easy",76,1,0.38013
"PLY12",1001,"EasyMed",1,2,89,28,220.68,88.411,1,"Easy",76,1,0.41055
"PLY12",1001,"EasyMed",1,2,90,5,150.89,285,0,"Easy",68,1,0.43039
"PLY12",1001,"EasyMed",1,2,91,28,220.68,88.411,1,"Easy",76,1,0.53589
"PLY12",1001,"EasyMed",1,2,92,3,87.947,221.56,0,"Easy",68,1,0.65039
"PLY12",1001,"EasyMed",1,2,93,5,150.89,285,0,"Easy",68,1,0.4452
"PLY12",1001,"EasyMed",1,2,94,27,189.21,56.691,1,"Easy",76,1,0.56077
"PLY12",1001,"EasyMed",1,2,95,5,150.89,285,0,"Easy",68,1,0.52557
"PLY12",1001,"EasyMed",1,2,96,27,189.21,56.691,1,"Easy",76,1,0.45549
"PLY12",1001,"EasyMed",1,2,97,5,150.89,285,0,"Easy",68,1,0.54592
"PLY12",1001,"EasyMed",1,2,98,2,56.474,189.87,0,"Easy",76,0,0.52041
"PLY12",1001,"EasyMed",1,2,99,3,87.947,221.56,0,"Easy",68,1,0.61065
"PLY12",1001,"EasyMed",1,2,100,30,285,151.82,1,"Easy",68,0,0.55076
"PLY12",1001,"EasyMed",1,3,101,3,87.947,221.56,0,"Easy",68,1,0.73025
"PLY12",1001,"EasyMed",1,3,102,5,150.89,285,0,"Easy",68,1,0.67578
"PLY12",1001,"EasyMed",1,3,103,26,157.74,25,1,"Easy",76,1,0.46059
"PLY12",1001,"EasyMed",1,3,104,29,252.16,120.1,1,"Easy",76,1,0.61572
"PLY12",1001,"EasyMed",1,3,105,29,252.16,120.1,1,"Easy",76,1,0.46989
"PLY12",1001,"EasyMed",1,3,106,1,25,158.15,0,"Easy",68,1,0.62014
"PLY12",1001,"EasyMed",1,3,107,4,119.42,253.28,0,"Easy",68,1,0.63524
"PLY12",1001,"EasyMed",1,3,108,4,119.42,253.28,0,"Easy",68,1,0.48543
"PLY12",1001,"EasyMed",1,3,109,4,119.42,253.28,0,"Easy",68,1,0.45559
"PLY12",1001,"EasyMed",1,3,110,2,56.474,189.87,0,"Easy",68,1,0.75511
"PLY12",1001,"EasyMed",1,3,111,1,25,158.15,0,"Easy",68,1,0.47567
"PLY12",1001,"EasyMed",1,3,112,28,220.68,88.411,1,"Easy",76,1,0.44581
"PLY12",1001,"EasyMed",1,3,113,2,56.474,189.87,0,"Easy",68,1,0.5256
"PLY12",1001,"EasyMed",1,3,114,29,252.16,120.1,1,"Easy",76,1,0.55076
"PLY12",1001,"EasyMed",1,3,115,2,56.474,189.87,0,"Easy",68,1,0.66028
"PLY12",1001,"EasyMed",1,3,116,5,150.89,285,0,"Easy",68,1,0.48009
"PLY12",1001,"EasyMed",1,3,117,1,25,158.15,0,"Easy",68,1,0.72066
"PLY12",1001,"EasyMed",1,3,118,5,150.89,285,0,"Easy",68,1,0.62078
"PLY12",1001,"EasyMed",1,3,119,26,157.74,25,1,"Easy",76,1,0.71997
"PLY12",1001,"EasyMed",1,3,120,3,87.947,221.56,0,"Easy",76,0,1.0059
"PLY12",1001,"EasyMed",1,3,121,27,189.21,56.691,1,"Easy",76,1,0.6103
"PLY12",1001,"EasyMed",1,3,122,30,285,151.82,1,"Easy",76,1,0.45086
"PLY12",1001,"EasyMed",1,3,123,1,25,158.15,0,"Easy",68,1,0.54037
"PLY12",1001,"EasyMed",1,3,124,30,285,151.82,1,"Easy",76,1,0.55583
"PLY12",1001,"EasyMed",1,3,125,5,150.89,285,0,"Easy",68,1,0.91574
"PLY12",1001,"EasyMed",1,3,126,29,252.16,120.1,1,"Easy",76,1,0.46087
"PLY12",1001,"EasyMed",1,3,127,30,285,151.82,1,"Easy",76,1,0.44504
"PLY12",1001,"EasyMed",1,3,128,5,150.89,285,0,"Easy",68,1,0.43058
"PLY12",1001,"EasyMed",1,3,129,3,87.947,221.56,0,"Easy",68,1,0.7108
"PLY12",1001,"EasyMed",1,3,130,26,157.74,25,1,"Easy",76,1,0.58054
"PLY12",1001,"EasyMed",1,3,131,27,189.21,56.691,1,"Easy",76,1,0.48071
"PLY12",1001,"EasyMed",1,3,132,4,119.42,253.28,0,"Easy",68,1,0.61334
"PLY12",1001,"EasyMed",1,3,133,1,25,158.15,0,"Easy",68,1,0.5904
"PLY12",1001,"EasyMed",1,3,134,1,25,158.15,0,"Easy",68,1,0.46054
"PLY12",1001,"EasyMed",1,3,135,29,252.16,120.1,1,"Easy",76,1,0.5207
"PLY12",1001,"EasyMed",1,3,136,27,189.21,56.691,1,"Easy",76,1,0.52092
"PLY12",1001,"EasyMed",1,3,137,28,220.68,88.411,1,"Easy",76,1,0.40069
"PLY12",1001,"EasyMed",1,3,138,28,220.68,88.411,1,"Easy",76,1,0.40019
"PLY12",1001,"EasyMed",1,3,139,26,157.74,25,1,"Easy",76,1,0.41004
"PLY12",1001,"EasyMed",1,3,140,30,285,151.82,1,"Easy",76,1,0.51055
"PLY12",1001,"EasyMed",1,3,141,2,56.474,189.87,0,"Easy",68,1,0.59076
"PLY12",1001,"EasyMed",1,3,142,1,25,158.15,0,"Easy",68,1,0.5409
"PLY12",1001,"EasyMed",1,3,143,28,220.68,88.411,1,"Easy",76,1,0.53514
"PLY12",1001,"EasyMed",1,3,144,29,252.16,120.1,1,"Easy",76,1,0.46021
"PLY12",1001,"EasyMed",1,3,145,30,285,151.82,1,"Easy",76,1,0.45503
"PLY12",1001,"EasyMed",1,3,146,30,285,151.82,1,"Easy",76,1,0.40561
"PLY12",1001,"EasyMed",1,3,147,28,220.68,88.411,1,"Easy",76,1,0.60002
"PLY12",1001,"EasyMed",1,3,148,5,150.89,285,0,"Easy",68,1,0.6655
"PLY12",1001,"EasyMed",1,3,149,28,220.68,88.411,1,"Easy",76,1,0.42536
"PLY12",1001,"EasyMed",1,3,150,26,157.74,25,1,"Easy",76,1,0.56532
"PLY12",1001,"EasyMed",2,1,151,6,46.895,135.96,0,"Medium",68,1,0.59006
"PLY12",1001,"EasyMed",2,1,152,24,230.26,142.32,1,"Medium",76,1,0.36551
"PLY12",1001,"EasyMed",2,1,153,22,167.32,78.878,1,"Medium",76,1,0.4607
"PLY12",1001,"EasyMed",2,1,154,8,109.84,199.37,0,"Medium",76,0,0.70085
"PLY12",1001,"EasyMed",2,1,155,25,261.74,174.01,1,"Medium",76,1,0.57541
"PLY12",1001,"EasyMed",2,1,156,21,135.84,47.187,1,"Medium",76,1,0.60529
"PLY12",1001,"EasyMed",2,1,157,9,141.32,231.09,0,"Medium",68,1,1.0259
"PLY12",1001,"EasyMed",2,1,158,7,78.368,167.68,0,"Medium",68,1,0.7809
"PLY12",1001,"EasyMed",2,1,159,23,198.79,110.6,1,"Medium",76,1,0.49029
"PLY12",1001,"EasyMed",2,1,160,25,261.74,174.01,1,"Medium",76,1,0.52028
"PLY12",1001,"EasyMed",2,1,161,24,230.26,142.32,1,"Medium",76,1,0.55044
"PLY12",1001,"EasyMed",2,1,162,6,46.895,135.96,0,"Medium",68,1,0.5259
"PLY12",1001,"EasyMed",2,1,163,25,261.74,174.01,1,"Medium",76,1,0.53578
"PLY12",1001,"EasyMed",2,1,164,24,230.26,142.32,1,"Medium",76,1,0.43007
"PLY12",1001,"EasyMed",2,1,165,22,167.32,78.878,1,"Medium",76,1,0.42513
"PLY12",1001,"EasyMed",2,1,166,22,167.32,78.878,1,"Medium",76,1,0.41492
"PLY12",1001,"EasyMed",2,1,167,25,261.74,174.01,1,"Medium",76,1,0.55508
"PLY12",1001,"EasyMed",2,1,168,21,135.84,47.187,1,"Medium",76,1,0.70588
"PLY12",1001,"EasyMed",2,1,169,25,261.74,174.01,1,"Medium",76,1,0.42047
"PLY12",1001,"EasyMed",2,1,170,22,167.32,78.878,1,"Medium",76,1,0.3352
"PLY12",1001,"EasyMed",2,1,171,9,141.32,231.09,0,"Medium",68,1,0.94539
"PLY12",1001,"EasyMed",2,1,172,7,78.368,167.68,0,"Medium",76,0,0.64523
"PLY12",1001,"EasyMed",2,1,173,22,167.32,78.878,1,"Medium",76,1,0.48007
"PLY12",1001,"EasyMed",2,1,174,6,46.895,135.96,0,"Medium",68,1,0.54562
"PLY12",1001,"EasyMed",2,1,175,7,78.368,167.68,0,"Medium",68,1,0.51512
"PLY12",1001,"EasyMed",2,1,176,21,135.84,47.187,1,"Medium",76,1,0.47595
"PLY12",1001,"EasyMed",2,1,177,9,141.32,231.09,0,"Medium",68,1,0.8782
"PLY12",1001,"EasyMed",2,1,178,22,167.32,78.878,1,"Medium",76,1,0.79555
"PLY12",1001,"EasyMed",2,1,179,21,135.84,47.187,1,"Medium",76,1,1.3155
"PLY12",1001,"EasyMed",2,1,180,25,261.74,174.01,1,"Medium",76,1,0.78538
"PLY12",1001,"EasyMed",2,1,181,6,46.895,135.96,0,"Medium",68,1,0.70564
"PLY12",1001,"EasyMed",2,1,182,24,230.26,142.32,1,"Medium",76,1,1.1602
"PLY12",1001,"EasyMed",2,1,183,10,172.79,262.78,0,"Medium",68,1,1.1201
"PLY12",1001,"EasyMed",2,1,184,24,230.26,142.32,1,"Medium",76,1,1.2908
"PLY12",1001,"EasyMed",2,1,185,21,135.84,47.187,1,"Medium",76,1,0.58034
"PLY12",1001,"EasyMed",2,1,186,8,109.84,199.37,0,"Medium",76,0,0.59084
"PLY12",1001,"EasyMed",2,1,187,10,172.79,262.78,0,"Medium",68,1,0.73536
"PLY12",1001,"EasyMed",2,1,188,7,78.368,167.68,0,"Medium",68,1,0.67091
"PLY12",1001,"EasyMed",2,1,189,23,198.79,110.6,1,"Medium",76,1,0.74572
"PLY12",1001,"EasyMed",2,1,190,23,198.79,110.6,1,"Medium",76,1,0.56517
"PLY12",1001,"EasyMed",2,1,191,8,109.84,199.37,0,"Medium",68,1,0.87544
"PLY12",1001,"EasyMed",2,1,192,8,109.84,199.37,0,"Medium",68,1,0.71031
"PLY12",1001,"EasyMed",2,1,193,10,172.79,262.78,0,"Medium",68,1,0.68081
"PLY12",1001,"EasyMed",2,1,194,8,109.84,199.37,0,"Medium",76,0,0.50499
"PLY12",1001,"EasyMed",2,1,195,24,230.26,142.32,1,"Medium",76,1,0.5156
"PLY12",1001,"EasyMed",2,1,196,25,261.74,174.01,1,"Medium",76,1,0.79557
"PLY12",1001,"EasyMed",2,1,197,7,78.368,167.68,0,"Medium",68,1,0.93551
"PLY12",1001,"EasyMed",2,1,198,23,198.79,110.6,1,"Medium",76,1,0.56072
"PLY12",1001,"EasyMed",2,1,199,9,141.32,231.09,0,"Medium",68,1,0.87055
"PLY12",1001,"EasyMed",2,1,200,8,109.84,199.37,0,"Medium",68,1,1.0757
"PLY12",1001,"EasyMed",2,2,201,8,109.84,199.37,0,"Medium",68,1,0.59066
"PLY12",1001,"EasyMed",2,2,202,10,172.79,262.78,0,"Medium",68,1,0.57073
"PLY12",1001,"EasyMed",2,2,203,6,46.895,135.96,0,"Medium",68,1,0.70556
"PLY12",1001,"EasyMed",2,2,204,25,261.74,174.01,1,"Medium",76,1,0.79511
"PLY12",1001,"EasyMed",2,2,205,21,135.84,47.187,1,"Medium",76,1,0.75993
"PLY12",1001,"EasyMed",2,2,206,10,172.79,262.78,0,"Medium",68,1,0.64545
"PLY12",1001,"EasyMed",2,2,207,9,141.32,231.09,0,"Medium",76,0,0.71534
"PLY12",1001,"EasyMed",2,2,208,8,109.84,199.37,0,"Medium",76,0,0.67512
"PLY12",1001,"EasyMed",2,2,209,6,46.895,135.96,0,"Medium",68,1,0.73076
"PLY12",1001,"EasyMed",2,2,210,8,109.84,199.37,0,"Medium",68,1,0.64547
"PLY12",1001,"EasyMed",2,2,211,24,230.26,142.32,1,"Medium",76,1,0.5653
"PLY12",1001,"EasyMed",2,2,212,9,141.32,231.09,0,"Medium",68,1,0.72517
"PLY12",1001,"EasyMed",2,2,213,9,141.32,231.09,0,"Medium",68,1,0.52
"PLY12",1001,"EasyMed",2,2,214,10,172.79,262.78,0,"Medium",68,1,0.57511
"PLY12",1001,"EasyMed",2,2,215,8,109.84,199.37,0,"Medium",68,1,0.63501
"PLY12",1001,"EasyMed",2,2,216,23,198.79,110.6,1,"Medium",76,1,0.96023
"PLY12",1001,"EasyMed",2,2,217,22,167.32,78.878,1,"Medium",76,1,0.64006
"PLY12",1001,"EasyMed",2,2,218,25,261.74,174.01,1,"Medium",76,1,0.54025
"PLY12",1001,"EasyMed",2,2,219,24,230.26,142.32,1,"Medium",76,1,0.54043
"PLY12",1001,"EasyMed",2,2,220,23,198.79,110.6,1,"Medium",76,1,0.50562
"PLY12",1001,"EasyMed",2,2,221,21,135.84,47.187,1,"Medium",76,1,0.51508
"PLY12",1001,"EasyMed",2,2,222,6,46.895,135.96,0,"Medium",68,1,0.7009
"PLY12",1001,"EasyMed",2,2,223,6,46.895,135.96,0,"Medium",68,1,0.53571
"PLY12",1001,"EasyMed",2,2,224,6,46.895,135.96,0,"Medium",68,1,0.48514
"PLY12",1001,"EasyMed",2,2,225,21,135.84,47.187,1,"Medium",76,1,0.70543
"PLY12",1001,"EasyMed",2,2,226,6,46.895,135.96,0,"Medium",68,1,0.61018
"PLY12",1001,"EasyMed",2,2,227,9,141.32,231.09,0,"Medium",68,1,0.8208
"PLY12",1001,"EasyMed",2,2,228,7,78.368,167.68,0,"Medium",68,1,0.91558
"PLY12",1001,"EasyMed",2,2,229,7,78.368,167.68,0,"Medium",68,1,0.60076
"PLY12",1001,"EasyMed",2,2,230,10,172.79,262.78,0,"Medium",68,1,0.61534
"PLY12",1001,"EasyMed",2,2,231,22,167.32,78.878,1,"Medium",76,1,0.74549
"PLY12",1001,"EasyMed",2,2,232,25,261.74,174.01,1,"Medium",76,1,0.58524
"PLY12",1001,"EasyMed",2,2,233,23,198.79,110.6,1,"Medium",76,1,0.54081
"PLY12",1001,"EasyMed",2,2,234,7,78.368,167.68,0,"Medium",68,1,0.71005
"PLY12",1001,"EasyMed",2,2,235,23,198.79,110.6,1,"Medium",76,1,0.6505
"PLY12",1001,"EasyMed",2,2,236,23,198.79,110.6,1,"Medium",76,1,0.62031
"PLY12",1001,"EasyMed",2,2,237,25,261.74,174.01,1,"Medium",76,1,0.4455
"PLY12",1001,"EasyMed",2,2,238,10,172.79,262.78,0,"Medium",68,1,0.72065
"PLY12",1001,"EasyMed",2,2,239,24,230.26,142.32,1,"Medium",76,1,0.48498
"PLY12",1001,"EasyMed",2,2,240,22,167.32,78.878,1,"Medium",76,1,0.79015
"PLY12",1001,"EasyMed",2,2,241,21,135.84,47.187,1,"Medium",76,1,0.74033
"PLY12",1001,"EasyMed",2,2,242,10,172.79,262.78,0,"Medium",68,1,0.60541
"PLY12",1001,"EasyMed",2,2,243,9,141.32,231.09,0,"Medium",68,1,1.3909
"PLY12",1001,"EasyMed",2,2,244,8,109.84,199.37,0,"Medium",68,1,0.74019
"PLY12",1001,"EasyMed",2,2,245,6,46.895,135.96,0,"Medium",68,1,0.80558
"PLY12",1001,"EasyMed",2,2,246,9,141.32,231.09,0,"Medium",68,1,0.97051
"PLY12",1001,"EasyMed",2,2,247,23,198.79,110.6,1,"Medium",76,1,0.87537
"PLY12",1001,"EasyMed",2,2,248,7,78.368,167.68,0,"Medium",68,1,0.79021
"PLY12",1001,"EasyMed",2,2,249,22,167.32,78.878,1,"Medium",76,1,0.63543
"PLY12",1001,"EasyMed",2,2,250,6,46.895,135.96,0,"Medium",68,1,0.83068
"PLY12",1001,"EasyMed",2,3,251,22,167.32,78.878,1,"Medium",76,1,1.0008
"PLY12",1001,"EasyMed",2,3,252,23,198.79,110.6,1,"Medium",76,1,0.84531
"PLY12",1001,"EasyMed",2,3,253,9,141.32,231.09,0,"Medium",68,1,0.92081
"PLY12",1001,"EasyMed",2,3,254,8,109.84,199.37,0,"Medium",68,1,0.75495
"PLY12",1001,"EasyMed",2,3,255,24,230.26,142.32,1,"Medium",76,1,0.69046
"PLY12",1001,"EasyMed",2,3,256,8,109.84,199.37,0,"Medium",68,1,0.93076
"PLY12",1001,"EasyMed",2,3,257,21,135.84,47.187,1,"Medium",76,1,0.62516
"PLY12",1001,"EasyMed",2,3,258,22,167.32,78.878,1,"Medium",76,1,0.55035
"PLY12",1001,"EasyMed",2,3,259,24,230.26,142.32,1,"Medium",76,1,0.55017
"PLY12",1001,"EasyMed",2,3,260,23,198.79,110.6,1,"Medium",76,1,0.69574
"PLY12",1001,"EasyMed",2,3,261,10,172.79,262.78,0,"Medium",68,1,0.63054
"PLY12",1001,"EasyMed",2,3,262,10,172.79,262.78,0,"Medium",68,1,0.46568
"PLY12",1001,"EasyMed",2,3,263,7,78.368,167.68,0,"Medium",76,0,0.58582
"PLY12",1001,"EasyMed",2,3,264,7,78.368,167.68,0,"Medium",68,1,0.79546
"PLY12",1001,"EasyMed",2,3,265,25,261.74,174.01,1,"Medium",76,1,0.83021
"PLY12",1001,"EasyMed",2,3,266,9,141.32,231.09,0,"Medium",68,1,0.77076
"PLY12",1001,"EasyMed",2,3,267,9,141.32,231.09,0,"Medium",68,1,1.255
"PLY12",1001,"EasyMed",2,3,268,24,230.26,142.32,1,"Medium",68,0,0.60081
"PLY12",1001,"EasyMed",2,3,269,24,230.26,142.32,1,"Medium",76,1,0.56536
"PLY12",1001,"EasyMed",2,3,270,8,109.84,199.37,0,"Medium",68,1,1.2402
"PLY12",1001,"EasyMed",2,3,271,10,172.79,262.78,0,"Medium",68,1,0.53035
"PLY12",1001,"EasyMed",2,3,272,7,78.368,167.68,0,"Medium",68,1,1.0259
"PLY12",1001,"EasyMed",2,3,273,23,198.79,110.6,1,"Medium",76,1,0.73575
"PLY12",1001,"EasyMed",2,3,274,7,78.368,167.68,0,"Medium",68,1,0.6953
"PLY12",1001,"EasyMed",2,3,275,21,135.84,47.187,1,"Medium",76,1,1.0308
"PLY12",1001,"EasyMed",2,3,276,21,135.84,47.187,1,"Medium",76,1,0.59531
"PLY12",1001,"EasyMed",2,3,277,8,109.84,199.37,0,"Medium",68,1,1.3249
"PLY12",1001,"EasyMed",2,3,278,7,78.368,167.68,0,"Medium",68,1,1.6551
"PLY12",1001,"EasyMed",2,3,279,22,167.32,78.878,1,"Medium",76,1,0.53059
"PLY12",1001,"EasyMed",2,3,280,25,261.74,174.01,1,"Medium",76,1,0.87512
"PLY12",1001,"EasyMed",2,3,281,24,230.26,142.32,1,"Medium",76,1,0.52495
"PLY12",1001,"EasyMed",2,3,282,10,172.79,262.78,0,"Medium",68,1,0.59084
"PLY12",1001,"EasyMed",2,3,283,6,46.895,135.96,0,"Medium",68,1,0.70027
"PLY12",1001,"EasyMed",2,3,284,23,198.79,110.6,1,"Medium",76,1,0.86513
"PLY12",1001,"EasyMed",2,3,285,10,172.79,262.78,0,"Medium",68,1,0.63031
"PLY12",1001,"EasyMed",2,3,286,21,135.84,47.187,1,"Medium",76,1,0.55555
"PLY12",1001,"EasyMed",2,3,287,24,230.26,142.32,1,"Medium",76,1,0.65015
"PLY12",1001,"EasyMed",2,3,288,21,135.84,47.187,1,"Medium",76,1,0.67553
"PLY12",1001,"EasyMed",2,3,289,22,167.32,78.878,1,"Medium",76,1,0.66034
"PLY12",1001,"EasyMed",2,3,290,10,172.79,262.78,0,"Medium",68,1,0.6552
"PLY12",1001,"EasyMed",2,3,291,9,141.32,231.09,0,"Medium",68,1,0.95502
